累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年16週(04月17日～04月23日),2023年04月26日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,639313,129.49,21008,6.68,7917,2.52,23683,7.53,287046,91.24,3813,1.21,4758,1.51,452,0.14,11400,3.62,3891,1.24,1435,0.46,101,0.15,2373,3.42,113,0.24,142,0.3,150,0.31,8,0.02,68,0.14
北海道,30816,135.75,3048,22.09,513,3.72,1763,12.78,5618,40.71,246,1.78,41,0.3,7,0.05,247,1.79,52,0.38,31,0.22,1,0.03,52,1.79,-,-,-,-,11,0.48,-,-,4,0.17
青森県,10833,171.95,191,4.66,59,1.44,105,2.56,3540,86.34,34,0.83,10,0.24,6,0.15,140,3.41,5,0.12,21,0.51,-,-,6,0.6,2,0.33,3,0.5,34,5.67,-,-,-,-
岩手県,12639,203.85,402,10.31,51,1.31,611,15.67,3497,89.67,22,0.56,17,0.44,-,-,193,4.95,3,0.08,12,0.31,-,-,32,2.46,3,0.16,3,0.16,4,0.21,-,-,9,0.47
宮城県,6083,64.71,405,7.11,125,2.19,300,5.26,6165,108.16,56,0.98,11,0.19,12,0.21,245,4.3,6,0.11,22,0.39,-,-,47,3.92,2,0.18,1,0.09,11,1,-,-,-,-
秋田県,6000,117.65,51,1.55,39,1.18,213,6.45,1832,55.52,36,1.09,7,0.21,8,0.24,80,2.42,35,1.06,8,0.24,-,-,12,1.71,-,-,-,-,2,0.25,-,-,-,-
山形県,5836,135.72,167,5.96,70,2.5,187,6.68,2974,106.21,34,1.21,14,0.5,3,0.11,156,5.57,1,0.04,16,0.57,-,-,11,1.38,3,0.3,-,-,1,0.1,-,-,1,0.1
福島県,5484,66.07,919,18.38,144,2.88,357,7.14,4025,80.5,29,0.58,13,0.26,13,0.26,298,5.96,4,0.08,25,0.5,-,-,63,4.85,2,0.29,1,0.14,2,0.29,-,-,-,-
茨城県,9902,82.52,128,1.71,137,1.83,511,6.81,4894,65.25,67,0.89,52,0.69,7,0.09,145,1.93,22,0.29,30,0.4,2,0.12,160,9.41,-,-,1,0.08,11,0.92,-,-,1,0.08
栃木県,8340,109.74,75,1.56,42,0.88,294,6.13,3542,73.79,59,1.23,25,0.52,2,0.04,203,4.23,5,0.1,13,0.27,-,-,40,3.33,3,0.43,1,0.14,-,-,-,-,1,0.14
群馬県,6293,73.17,86,1.62,164,3.09,208,3.92,4780,90.19,86,1.62,17,0.32,15,0.28,257,4.85,13,0.25,33,0.62,-,-,68,4.86,1,0.11,-,-,1,0.11,-,-,-,-
埼玉県,29043,114.34,638,3.99,386,2.41,877,5.48,16003,100.02,281,1.76,135,0.84,33,0.21,634,3.96,32,0.2,110,0.69,15,0.38,123,3.08,3,0.27,8,0.73,3,0.27,-,-,4,0.36
千葉県,21331,102.06,178,1.37,155,1.19,771,5.93,11878,91.37,174,1.34,63,0.48,18,0.14,352,2.71,30,0.23,68,0.52,1,0.03,123,3.62,3,0.33,5,0.56,-,-,-,-,-,-
東京都,43666,105.99,559,2.16,479,1.85,1435,5.54,25255,97.51,348,1.34,221,0.85,58,0.22,965,3.73,114,0.44,140,0.54,5,0.13,65,1.71,9,0.38,14,0.58,5,0.21,6,0.25,3,0.13
神奈川県,44320,123.8,267,1.18,263,1.16,1101,4.87,18847,83.39,202,0.89,116,0.51,36,0.16,739,3.27,64,0.28,126,0.56,7,0.14,346,6.92,6,0.55,13,1.18,3,0.27,-,-,1,0.09
新潟県,14991,174.31,637,11.58,185,3.36,864,15.71,4492,81.67,66,1.2,34,0.62,7,0.13,204,3.71,10,0.18,29,0.53,-,-,20,2,1,0.08,3,0.25,3,0.25,-,-,1,0.08
富山県,11044,230.08,442,15.24,170,5.86,392,13.52,4604,158.76,41,1.41,12,0.41,3,0.1,86,2.97,20,0.69,8,0.28,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
石川県,14194,295.71,289,9.97,95,3.28,152,5.24,4585,158.1,40,1.38,88,3.03,1,0.03,112,3.86,33,1.14,10,0.34,1,0.14,40,5.71,1,0.2,2,0.4,7,1.4,-,-,1,0.2
福井県,9996,270.16,323,14.04,160,6.96,269,11.7,1883,81.87,61,2.65,153,6.65,3,0.13,84,3.65,59,2.57,9,0.39,-,-,2,0.67,3,0.5,3,0.5,1,0.17,-,-,-,-
