報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年20週(05月15日～05月21日),2023年05月24日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
青森県,167,4.07,4,0.1,7,0.17,9,0.21,10,0.24,12,0.29,9,0.21,11,0.26,10,0.24,12,0.29,6,0.14,4,0.1,11,0.26,10,0.24,6,0.15,6,0.15,13,0.33,6,0.15,7,0.18,8,0.21,6,0.16
岩手県,260,6.67,11,0.28,11,0.28,8,0.2,13,0.33,14,0.35,6,0.15,10,0.25,17,0.43,8,0.2,11,0.28,11,0.28,8,0.2,18,0.45,13,0.33,18,0.46,16,0.41,18,0.46,19,0.48,16,0.4,14,0.35
宮城県,320,5.71,11,0.19,15,0.26,15,0.26,21,0.36,12,0.21,14,0.24,13,0.22,13,0.22,22,0.38,12,0.21,15,0.26,17,0.29,18,0.31,18,0.32,15,0.27,14,0.25,23,0.42,10,0.18,21,0.39,21,0.39
秋田県,105,3.18,6,0.18,4,0.12,5,0.15,12,0.36,2,0.06,7,0.21,4,0.12,4,0.12,2,0.06,4,0.12,3,0.09,4,0.12,8,0.24,8,0.24,2,0.06,5,0.15,8,0.24,4,0.12,5,0.15,8,0.24
山形県,205,7.32,7,0.24,11,0.38,7,0.24,10,0.34,12,0.41,8,0.28,15,0.52,11,0.38,13,0.45,16,0.55,10,0.34,5,0.17,13,0.45,4,0.14,7,0.25,7,0.25,8,0.29,8,0.29,20,0.71,13,0.46
福島県,389,7.94,10,0.2,17,0.34,22,0.44,17,0.34,15,0.3,20,0.4,19,0.38,14,0.28,17,0.34,19,0.38,21,0.42,14,0.28,21,0.42,20,0.4,20,0.4,32,0.64,22,0.44,16,0.32,25,0.51,28,0.57
茨城県,206,2.75,7,0.09,8,0.11,16,0.21,10,0.13,7,0.09,13,0.17,5,0.07,4,0.05,8,0.11,12,0.16,10,0.13,8,0.11,12,0.16,6,0.08,4,0.05,15,0.2,14,0.18,15,0.2,17,0.23,15,0.2
栃木県,266,5.54,17,0.35,15,0.31,16,0.33,7,0.15,10,0.21,8,0.17,12,0.25,15,0.31,12,0.25,14,0.29,8,0.17,10,0.21,18,0.38,11,0.23,12,0.25,18,0.38,19,0.4,15,0.31,17,0.35,12,0.25
群馬県,351,6.62,7,0.13,16,0.3,16,0.3,19,0.36,18,0.34,16,0.3,18,0.34,15,0.28,22,0.42,8,0.15,13,0.25,24,0.45,14,0.26,17,0.31,19,0.35,15,0.28,24,0.44,12,0.23,36,0.67,22,0.41
埼玉県,896,5.6,26,0.17,41,0.26,37,0.23,41,0.25,32,0.2,35,0.22,38,0.24,22,0.14,45,0.28,32,0.2,40,0.25,26,0.16,33,0.21,53,0.33,53,0.33,80,0.49,77,0.48,48,0.29,74,0.45,63,0.39
千葉県,511,3.96,15,0.12,25,0.19,23,0.18,22,0.17,24,0.18,16,0.12,11,0.08,14,0.11,17,0.13,23,0.18,22,0.17,23,0.18,21,0.16,31,0.24,21,0.16,45,0.35,41,0.32,36,0.29,47,0.36,34,0.27
東京都,1352,5.22,39,0.15,68,0.26,60,0.23,62,0.24,62,0.24,56,0.22,53,0.2,42,0.16,48,0.19,47,0.18,61,0.24,59,0.23,66,0.25,69,0.27,73,0.28,100,0.39,99,0.38,78,0.3,114,0.44,96,0.37
神奈川県,1019,4.51,38,0.17,42,0.18,52,0.23,45,0.2,40,0.18,36,0.16,48,0.21,31,0.14,47,0.2,46,0.21,49,0.22,36,0.16,48,0.21,48,0.21,58,0.26,75,0.33,80,0.36,52,0.23,81,0.35,67,0.29
新潟県,258,4.69,6,0.11,10,0.18,16,0.29,17,0.3,15,0.27,13,0.23,10,0.18,21,0.38,6,0.11,12,0.21,10,0.18,11,0.2,14,0.26,15,0.28,13,0.24,15,0.28,11,0.2,11,0.2,11,0.2,21,0.39
富山県,120,4.14,7,0.24,8,0.28,4,0.14,2,0.07,5,0.17,4,0.14,4,0.14,6,0.21,3,0.1,7,0.24,3,0.1,5,0.17,6,0.21,12,0.41,5,0.17,5,0.17,4,0.14,5,0.17,8,0.28,17,0.59
石川県,152,5.24,6,0.21,4,0.14,10,0.34,10,0.34,6,0.21,6,0.21,8,0.28,4,0.14,5,0.17,12,0.41,7,0.24,4,0.14,7,0.24,10,0.34,7,0.24,6,0.21,6,0.21,8,0.28,14,0.48,12,0.41
福井県,110,4.78,7,0.3,7,0.3,5,0.22,7,0.3,4,0.17,5,0.22,3,0.13,4,0.17,3,0.13,1,0.04,3,0.13,2,0.09,7,0.3,7,0.3,9,0.39,10,0.43,6,0.26,6,0.24,9,0.36,5,0.2
山梨県,118,4.92,6,0.25,7,0.29,8,0.33,4,0.17,8,0.33,4,0.17,4,0.17,8,0.33,6,0.25,4,0.17,3,0.13,3,0.13,4,0.17,6,0.25,6,0.25,7,0.29,6,0.25,10,0.42,5,0.21,9,0.38
長野県,179,3.38,14,0.26,11,0.2,10,0.19,8,0.15,10,0.19,8,0.15,8,0.15,10,0.19,7,0.13,5,0.09,7,0.13,7,0.13,5,0.09,6,0.11,7,0.13,14,0.26,11,0.21,9,0.17,10,0.19,12,0.22
岐阜県,185,3.56,5,0.09,8,0.15,14,0.26,4,0.08,10,0.19,6,0.11,7,0.13,8,0.15,11,0.21,4,0.08,10,0.19,11,0.21,9,0.18,10,0.19,8,0.15,9,0.17,10,0.19,14,0.26,15,0.28,12,0.23
静岡県,390,4.43,13,0.15,18,0.2,12,0.13,17,0.19,21,0.24,21,0.24,21,0.24,12,0.13,19,0.21,16,0.18,21,0.24,20,0.22,14,0.15,13,0.15,14,0.16,25,0.28,31,0.35,25,0.28,37,0.42,20,0.22
愛知県,610,3.35,20,0.11,40,0.22,28,0.15,19,0.1,24,0.13,26,0.14,23,0.13,37,0.2,22,0.12,18,0.1,33,0.18,22,0.12,43,0.23,26,0.14,35,0.19,42,0.23,38,0.21,27,0.15,40,0.22,47,0.26
三重県,206,4.68,13,0.29,11,0.24,8,0.18,7,0.16,14,0.31,11,0.24,6,0.13,13,0.29,11,0.24,5,0.11,10,0.22,5,0.11,9,0.2,10,0.22,11,0.24,12,0.27,16,0.36,11,0.24,12,0.27,11,0.24
滋賀県,115,3.29,6,0.17,7,0.19,4,0.11,3,0.08,6,0.17,3,0.08,4,0.11,6,0.17,3,0.08,2,0.06,4,0.11,8,0.22,5,0.14,6,0.17,10,0.28,5,0.14,4,0.11,5,0.15,14,0.39,10,0.28
京都府,232,3.09,7,0.09,9,0.12,14,0.18,12,0.16,17,0.22,9,0.12,8,0.11,11,0.14,12,0.16,14,0.18,11,0.14,5,0.07,9,0.12,11,0.14,11,0.14,12,0.16,15,0.2,13,0.17,12,0.16,20,0.26
大阪府,828,4.29,31,0.16,40,0.21,46,0.24,29,0.15,30,0.15,37,0.19,36,0.19,32,0.16,36,0.19,25,0.13,38,0.19,39,0.2,37,0.19,43,0.22,43,0.22,59,0.31,73,0.37,35,0.18,68,0.36,51,0.27
兵庫県,501,3.91,19,0.15,29,0.22,20,0.16,31,0.24,21,0.16,23,0.18,25,0.19,11,0.09,17,0.13,15,0.12,26,0.2,24,0.19,13,0.1,21,0.16,31,0.24,35,0.27,30,0.23,30,0.24,42,0.33,38,0.29
奈良県,168,4.94,4,0.12,14,0.41,10,0.29,7,0.21,8,0.24,7,0.21,5,0.15,5,0.15,5,0.15,8,0.24,8,0.24,8,0.24,8,0.24,8,0.24,10,0.29,8,0.24,11,0.32,8,0.24,10,0.29,16,0.47
和歌山県,135,4.5,4,0.13,5,0.17,2,0.07,5,0.17,5,0.17,6,0.2,4,0.13,4,0.13,6,0.2,3,0.1,9,0.3,3,0.1,12,0.4,7,0.23,10,0.33,5,0.17,7,0.23,10,0.33,9,0.3,19,0.63
鳥取県,97,5.11,2,0.11,6,0.32,4,0.21,5,0.26,3,0.16,9,0.47,7,0.37,7,0.37,3,0.16,5,0.26,5,0.26,3,0.16,3,0.16,5,0.26,6,0.32,9,0.47,3,0.16,0,0,6,0.32,6,0.32
島根県,171,7.43,11,0.48,5,0.22,7,0.3,10,0.43,12,0.52,7,0.3,9,0.39,7,0.3,7,0.3,12,0.52,7,0.3,6,0.26,8,0.35,5,0.22,7,0.3,7,0.3,17,0.74,10,0.43,9,0.39,8,0.35
岡山県,219,4.06,6,0.11,17,0.31,13,0.24,10,0.19,14,0.26,14,0.26,6,0.11,5,0.09,8,0.15,11,0.2,5,0.09,10,0.19,12,0.22,12,0.22,7,0.13,9,0.17,12,0.22,20,0.37,17,0.31,11,0.2
広島県,291,4.1,13,0.18,8,0.11,15,0.21,9,0.13,19,0.26,17,0.24,21,0.29,11,0.15,8,0.11,12,0.17,18,0.25,16,0.22,13,0.18,11,0.15,10,0.14,20,0.28,24,0.33,11,0.15,15,0.21,20,0.28
山口県,306,6.95,13,0.29,14,0.31,16,0.36,12,0.27,12,0.27,10,0.22,16,0.36,11,0.24,15,0.33,17,0.38,12,0.27,12,0.27,11,0.24,23,0.51,27,0.63,15,0.35,22,0.51,10,0.23,21,0.49,17,0.4
徳島県,142,6.17,11,0.48,4,0.17,9,0.39,6,0.26,5,0.22,5,0.22,7,0.3,4,0.17,5,0.22,9,0.39,8,0.35,5,0.22,6,0.26,4,0.17,7,0.3,11,0.48,10,0.43,7,0.3,11,0.48,8,0.35
香川県,198,7.07,3,0.11,8,0.29,8,0.29,12,0.43,4,0.14,6,0.21,9,0.32,14,0.5,5,0.18,12,0.43,7,0.25,5,0.18,8,0.29,10,0.36,15,0.54,14,0.5,14,0.5,10,0.36,19,0.68,15,0.54
愛媛県,327,9.08,12,0.32,12,0.32,17,0.46,15,0.41,13,0.35,17,0.46,19,0.51,11,0.3,9,0.24,20,0.54,21,0.57,14,0.38,19,0.53,10,0.27,16,0.43,18,0.49,22,0.59,22,0.59,20,0.54,20,0.54
高知県,131,5.04,10,0.37,3,0.11,8,0.3,10,0.37,7,0.26,5,0.19,5,0.19,5,0.19,4,0.15,3,0.11,7,0.26,6,0.22,8,0.3,3,0.11,3,0.11,8,0.3,6,0.22,7,0.26,9,0.35,14,0.54
福岡県,913,7.61,32,0.27,40,0.33,42,0.35,39,0.33,35,0.29,47,0.39,46,0.38,45,0.38,42,0.35,38,0.32,43,0.36,43,0.36,44,0.37,41,0.34,54,0.45,63,0.53,56,0.47,40,0.33,69,0.58,54,0.45
佐賀県,210,9.13,11,0.48,12,0.52,12,0.52,5,0.22,6,0.26,8,0.35,10,0.43,18,0.78,12,0.52,8,0.35,20,0.87,7,0.3,10,0.43,11,0.48,14,0.61,6,0.26,14,0.61,5,0.22,11,0.48,10,0.43
長崎県,236,5.36,9,0.2,11,0.25,13,0.3,5,0.11,9,0.2,10,0.23,13,0.3,10,0.23,10,0.23,9,0.2,14,0.32,8,0.18,9,0.2,15,0.34,16,0.36,20,0.45,15,0.34,15,0.34,16,0.36,9,0.2
熊本県,445,9.08,18,0.36,22,0.44,21,0.42,26,0.52,23,0.46,14,0.28,22,0.44,17,0.34,19,0.38,23,0.46,26,0.52,13,0.27,16,0.33,24,0.5,24,0.51,20,0.42,28,0.57,21,0.42,26,0.52,42,0.84
大分県,291,8.08,9,0.25,8,0.22,12,0.33,15,0.42,15,0.42,23,0.64,12,0.33,10,0.28,12,0.33,13,0.36,15,0.42,18,0.5,16,0.44,12,0.33,14,0.39,24,0.67,13,0.36,13,0.36,19,0.53,18,0.5
宮崎県,305,8.71,10,0.28,16,0.44,12,0.34,18,0.5,17,0.47,11,0.31,12,0.33,7,0.19,13,0.36,16,0.44,16,0.44,14,0.39,21,0.58,17,0.47,15,0.42,21,0.58,19,0.54,17,0.47,23,0.64,10,0.28
鹿児島県,313,5.91,10,0.19,18,0.33,15,0.28,12,0.22,17,0.31,19,0.35,16,0.3,13,0.24,14,0.26,18,0.33,16,0.3,16,0.3,14,0.27,12,0.23,17,0.32,17,0.32,15,0.28,15,0.28,16,0.3,23,0.43
沖縄県,139,4.34,7,0.21,7,0.21,4,0.12,4,0.12,4,0.12,7,0.22,4,0.13,7,0.22,7,0.22,6,0.19,2,0.06,7,0.22,10,0.3,7,0.21,6,0.19,9,0.28,11,0.34,8,0.26,14,0.45,8,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9121,2.9,83,0.03,138,0.04,190,0.06,170,0.05,156,0.05,126,0.04,158,0.05,153,0.05,118,0.04,154,0.05,173,0.06,187,0.06,312,0.1,322,0.1,580,0.19,871,0.28,1028,0.33,888,0.28,1038,0.33,2276,0.73
北海道,78,0.57,1,0.01,3,0.02,6,0.04,2,0.01,2,0.01,5,0.04,3,0.02,5,0.04,1,0.01,3,0.02,3,0.02,5,0.04,3,0.02,2,0.01,3,0.02,5,0.04,4,0.03,5,0.04,3,0.02,14,0.1
青森県,5,0.12,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
岩手県,11,0.28,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,8,0.2
宮城県,17,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.03,0,0,1,0.02,3,0.05,0,0,1,0.02,3,0.06,7,0.13
秋田県,38,1.15,5,0.15,2,0.06,12,0.36,8,0.24,1,0.03,1,0.03,3,0.09,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,2,0.06
山形県,1,0.04,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,6,0.12,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04,0,0,0,0,2,0.04,0,0
茨城県,59,0.79,1,0.01,1,0.01,0,0,0,0,0,0,1,0.01,2,0.03,0,0,1,0.01,0,0,0,0,2,0.03,0,0,3,0.04,6,0.08,5,0.07,8,0.1,6,0.08,8,0.11,15,0.2
栃木県,31,0.65,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,3,0.06,12,0.25,11,0.23
群馬県,24,0.45,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,1,0.02,2,0.04,2,0.04,0,0,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,1,0.02,0,0,0,0,10,0.19
埼玉県,130,0.81,0,0,1,0.01,1,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,0,0,2,0.01,5,0.03,1,0.01,1,0.01,5,0.03,3,0.02,8,0.05,13,0.08,8,0.05,11,0.07,66,0.4
千葉県,136,1.05,0,0,1,0.01,0,0,0,0,2,0.02,1,0.01,2,0.02,2,0.02,2,0.02,0,0,1,0.01,3,0.02,1,0.01,1,0.01,9,0.07,5,0.04,7,0.05,12,0.1,26,0.2,61,0.48
東京都,414,1.6,3,0.01,1,0,8,0.03,2,0.01,3,0.01,4,0.02,6,0.02,0,0,1,0,2,0.01,3,0.01,2,0.01,5,0.02,10,0.04,16,0.06,48,0.19,34,0.13,43,0.17,64,0.25,159,0.61
神奈川県,238,1.05,4,0.02,2,0.01,9,0.04,2,0.01,3,0.01,3,0.01,2,0.01,3,0.01,0,0,2,0.01,6,0.03,0,0,2,0.01,7,0.03,8,0.04,11,0.05,20,0.09,32,0.14,27,0.12,95,0.41
新潟県,22,0.4,1,0.02,0,0,0,0,0,0,2,0.04,0,0,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,4,0.07,7,0.13
富山県,59,2.03,1,0.03,1,0.03,1,0.03,1,0.03,0,0,1,0.03,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,1,0.03,1,0.03,1,0.03,5,0.17,2,0.07,5,0.17,9,0.31,23,0.79
石川県,164,5.66,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,12,0.41,15,0.52,12,0.41,18,0.62,32,1.1,69,2.38
福井県,173,7.52,1,0.04,1,0.04,1,0.04,0,0,2,0.09,0,0,0,0,1,0.04,0,0,4,0.17,2,0.09,2,0.09,3,0.13,5,0.22,19,0.83,18,0.78,31,1.35,19,0.76,23,0.92,41,1.64
山梨県,6,0.25,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,3,0.13
長野県,42,0.79,3,0.06,2,0.04,4,0.07,6,0.11,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,3,0.06,2,0.04,3,0.06,15,0.28
岐阜県,16,0.31,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,2,0.04,0,0,1,0.02,2,0.04,1,0.02,0,0,2,0.04,6,0.11
静岡県,154,1.75,0,0,0,0,0,0,1,0.01,0,0,2,0.02,1,0.01,0,0,0,0,0,0,0,0,1,0.01,2,0.02,2,0.02,0,0,3,0.03,2,0.02,13,0.15,16,0.18,111,1.25
愛知県,138,0.76,0,0,2,0.01,0,0,0,0,0,0,0,0,0,0,1,0.01,2,0.01,3,0.02,0,0,2,0.01,7,0.04,1,0.01,1,0.01,8,0.04,16,0.09,13,0.07,28,0.15,54,0.3
三重県,45,1.02,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,2,0.04,0,0,0,0,5,0.11,33,0.73
滋賀県,46,1.31,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,6,0.17,1,0.03,2,0.06,4,0.11,5,0.14,1,0.03,8,0.22,15,0.42
京都府,130,1.73,0,0,5,0.07,8,0.11,9,0.12,8,0.11,5,0.07,3,0.04,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,4,0.05,3,0.04,3,0.04,12,0.16,2,0.03,13,0.17,49,0.64
大阪府,365,1.89,11,0.06,14,0.07,8,0.04,9,0.05,3,0.02,1,0.01,8,0.04,4,0.02,3,0.02,4,0.02,9,0.05,10,0.05,7,0.04,4,0.02,20,0.1,22,0.11,33,0.17,36,0.19,53,0.28,106,0.56
兵庫県,459,3.59,1,0.01,6,0.05,5,0.04,4,0.03,6,0.05,5,0.04,3,0.02,6,0.05,2,0.02,5,0.04,3,0.02,2,0.02,6,0.05,11,0.09,14,0.11,34,0.26,55,0.43,67,0.53,88,0.68,136,1.05
奈良県,97,2.85,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,2,0.06,1,0.03,1,0.03,1,0.03,1,0.03,6,0.18,7,0.21,10,0.29,58,1.71
和歌山県,51,1.7,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,5,0.17,43,1.43
鳥取県,15,0.79,1,0.05,0,0,0,0,0,0,0,0,0,0,2,0.11,2,0.11,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.11,1,0.05,6,0.32
島根県,22,0.96,0,0,0,0,1,0.04,2,0.09,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,3,0.13,1,0.04,0,0,0,0,3,0.13,2,0.09,3,0.13,3,0.13
岡山県,104,1.93,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,2,0.04,1,0.02,0,0,4,0.07,4,0.07,4,0.07,2,0.04,17,0.31,10,0.19,5,0.09,17,0.31,25,0.46
広島県,217,3.06,4,0.06,4,0.06,0,0,1,0.01,1,0.01,1,0.01,2,0.03,8,0.11,4,0.06,2,0.03,2,0.03,6,0.08,9,0.13,6,0.08,14,0.19,18,0.25,44,0.61,25,0.35,28,0.39,38,0.54
山口県,233,5.3,4,0.09,4,0.09,3,0.07,1,0.02,2,0.04,4,0.09,3,0.07,5,0.11,7,0.16,5,0.11,5,0.11,9,0.2,9,0.2,6,0.13,9,0.21,15,0.35,19,0.44,25,0.58,44,1.02,54,1.26
徳島県,39,1.7,0,0,0,0,2,0.09,2,0.09,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,1,0.04,11,0.48,20,0.87
香川県,125,4.46,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.04,0,0,0,0,3,0.11,13,0.46,14,0.5,36,1.29,16,0.57,13,0.46,23,0.82
愛媛県,49,1.36,3,0.08,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,3,0.08,3,0.08,1,0.03,0,0,5,0.14,27,0.73
高知県,283,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.11,2,0.07,5,0.19,17,0.63,15,0.56,24,0.89,51,1.89,58,2.15,45,1.67,23,0.88,40,1.54
福岡県,1105,9.21,11,0.09,31,0.26,38,0.32,43,0.36,34,0.28,21,0.18,43,0.36,33,0.28,24,0.2,14,0.12,32,0.27,44,0.37,70,0.58,40,0.33,84,0.7,96,0.8,113,0.94,106,0.88,85,0.71,143,1.19
佐賀県,578,25.13,1,0.04,12,0.52,10,0.43,7,0.3,6,0.26,9,0.39,10,0.43,13,0.57,8,0.35,9,0.39,19,0.83,16,0.7,25,1.09,18,0.78,28,1.22,50,2.17,80,3.48,48,2.09,82,3.57,127,5.52
長崎県,789,17.93,1,0.02,2,0.05,4,0.09,5,0.11,5,0.11,7,0.16,7,0.16,3,0.07,0,0,7,0.16,6,0.14,8,0.18,37,0.84,46,1.05,88,2,146,3.32,146,3.32,94,2.14,65,1.48,112,2.55
熊本県,1053,21.49,7,0.14,17,0.34,25,0.5,25,0.5,36,0.72,23,0.46,29,0.58,18,0.36,29,0.58,52,1.04,47,0.94,35,0.71,61,1.24,70,1.46,129,2.74,132,2.75,111,2.27,70,1.4,48,0.96,89,1.78
大分県,197,5.47,1,0.03,2,0.06,9,0.25,12,0.33,4,0.11,13,0.36,1,0.03,7,0.19,4,0.11,7,0.19,1,0.03,4,0.11,6,0.17,4,0.11,3,0.08,9,0.25,6,0.17,13,0.36,30,0.83,61,1.69
宮崎県,692,19.77,6,0.17,5,0.14,15,0.43,13,0.36,10,0.28,3,0.08,12,0.33,13,0.36,14,0.39,14,0.39,17,0.47,10,0.28,9,0.25,16,0.44,35,0.97,67,1.86,97,2.77,88,2.44,78,2.17,170,4.72
鹿児島県,400,7.55,1,0.02,9,0.17,15,0.28,6,0.11,14,0.26,6,0.11,6,0.11,10,0.19,4,0.07,7,0.13,3,0.06,5,0.09,8,0.15,22,0.42,19,0.36,36,0.68,30,0.57,42,0.79,46,0.87,111,2.09
沖縄県,65,2.03,4,0.12,1,0.03,0,0,1,0.03,3,0.09,0,0,1,0.03,1,0.03,0,0,1,0.03,2,0.06,3,0.09,0,0,5,0.15,6,0.19,8,0.25,5,0.16,11,0.35,3,0.1,10,0.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1947,0.62,63,0.02,68,0.02,84,0.03,76,0.02,96,0.03,92,0.03,95,0.03,81,0.03,95,0.03,91,0.03,100,0.03,79,0.03,97,0.03,95,0.03,114,0.04,110,0.04,107,0.03,97,0.03,123,0.04,184,0.06
北海道,49,0.36,0,0,2,0.01,5,0.04,0,0,1,0.01,3,0.02,1,0.01,0,0,2,0.01,2,0.01,3,0.02,1,0.01,3,0.02,2,0.01,3,0.02,3,0.02,4,0.03,5,0.04,3,0.02,6,0.04
青森県,26,0.63,2,0.05,1,0.02,0,0,1,0.02,2,0.05,0,0,4,0.1,3,0.07,0,0,2,0.05,1,0.02,1,0.02,2,0.05,1,0.03,0,0,1,0.03,1,0.03,1,0.03,1,0.03,2,0.05
岩手県,13,0.33,0,0,1,0.03,0,0,0,0,2,0.05,2,0.05,1,0.03,0,0,1,0.03,3,0.08,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0
宮城県,27,0.48,2,0.03,0,0,1,0.02,0,0,2,0.03,1,0.02,2,0.03,1,0.02,4,0.07,2,0.03,0,0,2,0.03,0,0,2,0.04,2,0.04,1,0.02,1,0.02,1,0.02,1,0.02,2,0.04
秋田県,10,0.3,0,0,0,0,2,0.06,1,0.03,0,0,1,0.03,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,1,0.03
山形県,17,0.61,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,0,0,0,0,3,0.1,0,0,1,0.03,3,0.1,0,0,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0
福島県,31,0.63,1,0.02,1,0.02,0,0,0,0,3,0.06,3,0.06,1,0.02,1,0.02,1,0.02,1,0.02,3,0.06,2,0.04,2,0.04,0,0,3,0.06,3,0.06,1,0.02,1,0.02,3,0.06,1,0.02
茨城県,37,0.49,7,0.09,2,0.03,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,2,0.03,3,0.04,2,0.03,0,0,3,0.04,2,0.03,3,0.04,3,0.04,1,0.01,1,0.01,1,0.01,4,0.05
