累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年46週(11月13日～11月19日),2023年11月22日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
静岡県,33258,239.27,4079,46.35,2014,22.89,2935,33.35,17240,195.91,302,3.43,1586,18.02,131,1.49,1032,11.73,6157,69.97,179,2.03,4,0.18,226,10.27,18,1.8,20,2,31,3.1,-,-,2,0.2,38083,273.98
愛知県,64122,328.83,6078,33.4,5070,27.86,9031,49.62,35551,195.34,534,2.93,1560,8.57,87,0.48,1392,7.65,8883,48.81,279,1.53,4,0.11,358,10.23,18,1.2,27,1.8,16,1.07,2,0.13,3,0.2,65367,335.22
三重県,19820,279.15,2925,66.48,1818,41.32,1697,38.57,10331,234.8,242,5.5,658,14.95,18,0.41,450,10.23,4041,91.84,39,0.89,-,-,63,5.25,12,1.33,23,2.56,6,0.67,1,0.11,-,-,18740,263.94
滋賀県,14911,252.73,1325,37.86,504,14.4,1731,49.46,6246,178.46,297,8.49,653,18.66,7,0.2,347,9.91,2031,58.03,70,2,-,-,9,1.13,4,0.57,26,3.71,6,0.86,-,-,-,-,13146,222.81
京都府,39293,314.34,2446,32.18,3749,49.33,5446,71.66,12140,159.74,306,4.03,974,12.82,35,0.46,542,7.13,2775,36.51,97,1.28,7,0.41,142,8.35,3,0.43,6,0.86,5,0.71,-,-,13,1.86,28839,230.71
大阪府,94056,315.62,10315,53.17,13288,68.49,15759,81.23,38916,200.6,833,4.29,2672,13.77,84,0.43,1973,10.17,10764,55.48,463,2.39,23,0.45,845,16.57,9,0.56,22,1.38,12,0.75,-,-,10,0.63,60192,201.99
兵庫県,62603,316.18,7672,59.94,6425,50.2,6703,52.37,32842,256.58,522,4.08,2633,20.57,74,0.58,1308,10.22,6482,50.64,272,2.13,24,0.69,884,25.26,17,1.21,31,2.21,11,0.79,1,0.07,7,0.5,41053,207.34
奈良県,14069,255.8,1974,58.06,2167,63.74,2565,75.44,7108,209.06,120,3.53,517,15.21,14,0.41,405,11.91,1634,48.06,44,1.29,4,0.4,285,28.5,9,1.5,7,1.17,3,0.5,1,0.17,1,0.17,14201,258.2
和歌山県,10610,216.53,2130,71,1042,34.73,1309,43.63,4862,162.07,88,2.93,247,8.23,9,0.3,308,10.27,2043,68.1,59,1.97,6,1.5,72,18,4,0.36,18,1.64,12,1.09,1,0.09,4,0.36,11639,237.53
鳥取県,6529,225.14,919,48.37,266,14,2560,134.74,5249,276.26,53,2.79,859,45.21,8,0.42,201,10.58,994,52.32,14,0.74,1,0.2,36,7.2,5,1,8,1.6,-,-,-,-,5,1,8078,278.55
島根県,7765,204.34,1442,62.7,501,21.78,526,22.87,5329,231.7,93,4.04,1765,76.74,4,0.17,383,16.65,584,25.39,28,1.22,1,0.33,26,8.67,9,1.13,10,1.25,2,0.25,-,-,1,0.13,7763,204.29
岡山県,20158,239.98,1823,33.76,1168,21.63,1424,26.37,11359,210.35,174,3.22,2544,47.11,26,0.48,565,10.46,2111,39.09,125,2.31,8,0.67,186,15.5,4,0.8,22,4.4,3,0.6,-,-,3,0.6,18053,214.92
広島県,28597,253.07,3449,49.27,1890,27,4680,66.86,15504,221.49,242,3.46,2241,32.01,15,0.21,715,10.21,2567,36.67,115,1.64,13,0.72,498,27.67,8,0.38,18,0.86,13,0.62,-,-,5,0.24,24241,214.52
山口県,21273,322.32,3646,84.79,646,15.02,3651,84.91,9536,221.77,147,3.42,2074,48.23,24,0.56,694,16.14,2239,52.07,105,2.44,-,-,120,13.33,3,0.33,5,0.56,34,3.78,-,-,-,-,16231,245.92
徳島県,8395,226.89,1587,69,692,30.09,340,14.78,4412,191.83,63,2.74,473,20.57,7,0.3,311,13.52,1098,47.74,22,0.96,2,0.5,17,4.25,5,0.71,11,1.57,-,-,-,-,-,-,9264,250.38
香川県,12340,262.55,1228,43.86,1107,39.54,498,17.79,8864,316.57,84,3,854,30.5,6,0.21,436,15.57,1591,56.82,69,2.46,1,0.2,43,8.6,1,0.2,5,1,2,0.4,-,-,-,-,11079,235.72
愛媛県,24521,408.68,2646,73.5,1502,41.72,2041,56.69,11506,319.61,106,2.94,566,15.72,8,0.22,695,19.31,2410,66.94,91,2.53,2,0.25,428,53.5,-,-,3,0.5,6,1,-,-,3,0.5,15741,262.35
高知県,11788,267.91,1276,49.08,554,21.31,1065,40.96,3729,143.42,154,5.92,779,29.96,21,0.81,315,12.12,1162,44.69,20,0.77,-,-,16,5.33,5,0.63,7,0.88,24,3,-,-,7,0.88,11254,255.77
福岡県,84240,425.45,8901,74.18,11097,92.48,15710,130.92,29496,245.8,714,5.95,7814,65.12,51,0.43,2070,17.25,7817,65.14,279,2.33,10,0.38,698,26.85,18,1.2,20,1.33,4,0.27,-,-,3,0.2,49879,251.91
佐賀県,15788,404.82,1636,71.13,1337,58.13,1076,46.78,2826,122.87,81,3.52,1678,72.96,12,0.52,561,24.39,2008,87.3,36,1.57,-,-,39,9.75,9,1.5,14,2.33,10,1.67,-,-,6,1,13259,339.97
長崎県,25700,372.46,2135,48.52,1661,37.75,3779,85.89,5585,126.93,174,3.95,1747,39.7,13,0.3,593,13.48,2588,58.82,78,1.77,34,4.25,157,19.63,9,0.75,18,1.5,13,1.08,-,-,1,0.08,20520,297.39
熊本県,26445,334.75,2576,52.57,1553,31.69,2372,48.41,13151,268.39,233,4.76,2345,47.86,21,0.43,1046,21.35,3585,73.16,140,2.86,1,0.11,201,22.33,9,0.64,18,1.29,6,0.43,-,-,1,0.07,22704,287.39
大分県,23780,410,2879,79.97,1485,41.25,1661,46.14,15464,429.56,261,7.25,1514,42.06,32,0.89,749,20.81,2445,67.92,99,2.75,-,-,137,27.4,3,0.27,4,0.36,58,5.27,-,-,1,0.09,16227,279.78
宮崎県,24680,432.98,2510,71.71,1170,33.43,2582,73.77,11827,337.91,169,4.83,2677,76.49,17,0.49,803,22.94,3396,97.03,75,2.14,4,0.67,263,43.83,1,0.14,2,0.29,1,0.14,-,-,-,-,17419,305.6
鹿児島県,34410,382.33,4292,82.54,1807,34.75,1782,34.27,13139,252.67,223,4.29,1871,35.98,58,1.12,759,14.6,5277,101.48,153,2.94,2,0.29,161,23,4,0.33,6,0.5,-,-,1,0.08,-,-,25420,282.44
沖縄県,29485,546.02,1543,49.77,2015,65,2314,74.65,3137,101.19,117,3.77,2349,75.77,18,0.58,322,10.39,448,14.45,74,2.39,13,1.63,464,58,19,2.71,15,2.14,15,2.14,2,0.29,-,-,21952,406.52
