報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,
2025年11週(03月10日～03月16日),2025年03月19日作成,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,562163,115.74,142308,33.89,172962,35.06,90770,18.4,54620,11.07,28970,5.87,18616,3.77,12792,2.64,10916,2.22,9300,1.88,9949,2.02,10960,2.23
北海道,23452,107.58,6490,34.71,5957,26.83,2831,12.75,1794,8.08,1403,6.32,963,4.34,764,3.44,828,3.73,728,3.28,815,3.67,879,3.96
青森県,5827,102.23,1721,36.62,1341,23.12,729,12.57,567,9.78,501,8.64,282,4.86,256,4.41,158,2.72,102,1.76,93,1.6,77,1.33
岩手県,8825,142.34,2200,35.48,2225,35.89,1363,21.98,749,12.08,704,11.35,554,8.94,378,6.1,270,4.35,161,2.6,102,1.65,119,1.92
宮城県,11678,128.33,1519,16.69,3773,41.46,2240,24.62,1569,17.24,859,9.44,547,6.01,434,4.77,316,3.47,168,1.85,145,1.59,108,1.19
秋田県,3273,66.8,261,12.43,975,18.75,660,12.69,469,9.02,288,5.54,187,3.6,114,2.19,78,1.5,75,1.44,61,1.17,105,2.02
山形県,6001,150.03,674,25.92,1370,32.62,1127,26.83,1063,25.31,673,16.02,357,8.5,215,5.24,188,4.59,123,3,108,2.63,103,2.51
福島県,10694,132.02,3841,46.84,2970,36.22,1675,20.43,901,10.99,380,4.69,172,2.12,105,1.3,77,0.95,158,1.95,196,2.42,219,2.7
茨城県,16533,140.11,6018,60.18,4940,41.17,2321,19.34,1315,10.96,558,4.65,330,2.75,286,2.38,194,1.62,169,1.41,172,1.43,230,1.92
栃木県,9425,129.11,1460,28.63,3072,40.42,1428,18.79,947,12.46,519,6.83,383,5.04,390,5.13,344,4.53,296,3.89,273,3.59,313,4.12
群馬県,10691,130.38,1964,35.71,3121,36.72,1859,21.87,1143,13.45,761,8.95,593,6.98,336,3.95,264,3.11,185,2.18,225,2.68,240,2.86
埼玉県,29101,116.87,6190,45.85,9131,34.98,4629,17.74,3126,11.98,1599,6.13,1097,4.2,771,2.95,810,3.1,606,2.32,570,2.18,572,2.19
千葉県,24431,121.55,4872,28.33,8101,39.91,4002,19.62,2424,11.88,1205,5.91,828,4.06,619,3.02,630,3.09,538,2.62,566,2.77,646,3.2
東京都,26980,65.97,4474,13.98,9166,21.93,4297,10.28,2759,6.6,1586,3.79,1129,2.69,685,1.63,658,1.57,589,1.41,772,1.84,865,2.07
神奈川県,26326,75,2957,12.37,9636,26.55,4234,11.63,2863,7.8,1748,4.83,1133,3.12,743,2.05,617,1.72,679,1.87,842,2.33,874,2.42
新潟県,13275,154.36,1911,21.97,3041,35.36,1954,22.72,1773,20.62,1285,14.94,928,10.79,599,6.97,522,6.07,349,4.06,409,4.76,504,5.86
富山県,5376,114.38,622,13.82,1661,34.6,1067,22.23,790,16.46,413,8.6,200,4.17,121,2.52,114,2.38,58,1.21,151,3.15,179,3.73
石川県,7215,150.31,1239,25.81,2233,46.52,1527,31.81,919,19.15,445,9.27,285,5.94,181,3.77,119,2.48,94,1.96,97,2.02,76,1.58
福井県,4763,122.13,1042,26.72,1448,37.13,936,24,598,15.33,308,7.9,145,3.72,74,1.9,54,1.38,32,0.82,51,1.31,75,1.92
山梨県,3736,91.12,786,19.17,1568,38.24,572,13.95,387,9.44,221,5.39,73,1.78,18,0.44,23,0.56,18,0.44,33,0.8,37,0.9
長野県,12803,150.62,3115,47.92,3477,39.51,1905,21.65,1412,16.05,735,8.35,521,6.06,287,3.26,291,3.31,217,2.47,377,4.28,466,5.36
岐阜県,12576,144.55,6148,70.67,2911,33.46,1425,16.38,829,9.53,478,5.49,242,2.78,177,2.03,155,1.78,87,1,67,0.77,57,0.66
静岡県,20167,145.09,5047,36.31,6635,47.73,3368,24.23,1840,13.24,954,6.86,676,4.86,413,2.97,315,2.27,288,2.07,274,1.97,357,2.57
愛知県,29609,152.62,10914,55.97,8374,42.94,4318,22.26,2343,12.08,1271,6.55,779,3.99,450,2.31,308,1.58,307,1.57,278,1.43,267,1.37
三重県,7676,109.66,1973,36.54,2815,39.1,1333,18.51,591,8.21,329,4.57,180,2.5,115,1.6,98,1.36,77,1.08,92,1.28,73,1.01
滋賀県,6505,112.16,2191,53.44,1934,32.23,1070,17.83,532,8.87,241,4.02,136,2.27,85,1.42,55,0.92,89,1.48,96,1.6,76,1.27
京都府,12784,104.79,3538,30.24,3950,31.85,2062,16.63,1236,10.05,558,4.5,299,2.41,187,1.51,196,1.61,221,1.78,255,2.07,282,2.29
大阪府,25394,86.67,7735,25.61,7701,25.5,3564,11.84,2014,6.69,1012,3.36,711,2.36,375,1.71,530,1.75,527,1.75,525,1.74,700,2.33
兵庫県,19161,98.26,3771,22.18,6995,35.33,3415,17.25,1783,9.01,903,4.56,500,2.53,390,1.97,275,1.39,289,1.46,371,1.88,469,2.38
奈良県,5406,106,496,24.8,1998,36.33,986,17.93,726,13.2,389,7.07,247,4.49,123,2.24,92,1.67,122,2.22,112,2.04,115,2.09
和歌山県,5948,126.55,1179,26.2,2098,43.71,1155,24.06,602,12.54,236,4.92,199,4.15,129,2.69,55,1.15,43,0.9,104,2.17,148,3.08
鳥取県,3415,117.76,1413,48.72,887,30.59,529,18.24,262,9.03,120,4.14,67,2.31,41,1.41,11,0.38,19,0.66,28,0.97,38,1.31
島根県,4292,112.95,1744,45.89,1053,27.71,579,15.24,305,8.03,144,3.79,88,2.32,76,2,139,3.66,78,2.05,45,1.18,41,1.08
岡山県,9303,110.75,2883,34.32,3016,35.9,1569,18.68,791,9.42,297,3.54,188,2.24,160,1.9,105,1.25,81,0.96,88,1.05,125,1.49
広島県,11769,103.24,3596,40.4,3766,32.19,1884,16.1,934,7.98,420,3.59,225,1.92,246,2.1,220,1.88,199,1.7,131,1.12,148,1.26
山口県,7966,118.9,1957,29.21,2907,43.39,1427,21.3,870,12.99,296,4.42,174,2.6,99,1.48,102,1.52,50,0.75,47,0.7,37,0.55
徳島県,5949,160.78,1566,42.32,2123,57.38,1129,30.51,590,15.95,216,5.84,99,2.68,64,1.73,55,1.49,41,1.11,32,0.86,34,0.92
香川県,6395,136.06,1749,37.21,1913,40.7,1178,25.06,629,13.38,324,6.89,182,3.87,162,3.45,100,2.13,72,1.53,40,0.85,46,0.98
愛媛県,8068,139.1,1509,34.3,3014,50.23,1681,28.02,856,14.27,350,5.83,195,3.25,145,2.42,74,1.23,68,1.13,73,1.22,103,1.72
高知県,7565,171.93,2045,46.48,2480,56.36,1414,32.14,774,17.59,341,7.75,230,5.23,158,3.59,66,1.5,22,0.5,15,0.34,20,0.45
福岡県,24384,123.78,8268,41.97,7052,35.8,3573,18.14,2121,10.77,918,4.66,572,2.9,425,2.16,327,1.66,348,1.77,386,1.96,394,2
佐賀県,6038,158.89,1635,45.42,1976,50.67,995,25.51,579,14.85,294,7.54,160,4.1,90,2.31,101,2.59,78,2,96,2.46,34,0.87
長崎県,10690,154.93,3192,45.6,3294,47.06,1769,25.27,1130,16.14,526,7.51,308,4.4,147,2.1,105,1.5,65,0.93,62,0.9,92,1.33
熊本県,11953,151.3,3782,47.87,3920,49.62,1955,24.75,970,12.28,428,5.35,283,3.54,151,1.89,93,1.16,115,1.44,127,1.59,129,1.61
大分県,7846,135.28,3147,54.26,2140,36.9,1153,19.88,645,11.12,240,4.14,108,1.86,99,1.71,107,1.84,86,1.48,69,1.19,52,0.9
宮崎県,9104,159.72,2164,41.62,3320,57.24,1835,31.64,872,15.03,352,6.07,210,3.62,109,1.88,78,1.34,50,0.86,55,0.95,59,1.02
鹿児島県,11345,128.92,3236,36.36,3560,40,2183,24.53,1177,13.22,396,4.45,209,2.35,153,1.74,114,1.3,107,1.22,111,1.26,99,1.13
沖縄県,10450,186.61,2074,37.04,1924,34.36,1865,33.3,1051,18.77,746,13.32,642,11.46,647,11.55,485,8.66,426,7.61,312,5.57,278,4.96
,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,30833,10.01,447,0.17,1070,0.34,1277,0.41,2286,0.73,2694,0.86,3000,0.96,3235,1.05,3802,1.22,4006,1.28,4405,1.41,4611,1.48
北海道,1936,14.56,62,0.59,158,1.16,153,1.13,234,1.72,263,1.93,227,1.67,201,1.48,199,1.46,143,1.05,152,1.12,144,1.06
青森県,172,4.78,7,0.22,13,0.35,12,0.32,8,0.22,15,0.41,13,0.35,18,0.49,16,0.43,18,0.49,23,0.62,29,0.78
岩手県,244,6.26,8,0.21,7,0.18,6,0.15,11,0.28,42,1.08,32,0.82,23,0.59,13,0.33,14,0.36,29,0.74,59,1.51
宮城県,351,6.38,5,0.09,8,0.15,12,0.22,25,0.45,14,0.25,41,0.75,32,0.58,67,1.22,45,0.82,38,0.69,64,1.16
秋田県,90,2.81,5,0.33,5,0.15,7,0.21,14,0.41,9,0.26,6,0.18,10,0.29,6,0.18,7,0.21,6,0.18,15,0.44
山形県,138,5.52,4,0.22,5,0.19,15,0.56,12,0.44,14,0.52,13,0.48,14,0.54,14,0.54,15,0.58,16,0.62,16,0.62
福島県,399,8.31,8,0.16,14,0.29,16,0.33,52,1.06,38,0.79,27,0.56,29,0.6,29,0.6,40,0.83,67,1.4,79,1.65
茨城県,459,6.29,15,0.25,15,0.2,23,0.31,43,0.57,35,0.47,44,0.59,54,0.72,62,0.83,71,0.95,55,0.73,42,0.56
栃木県,449,9.76,11,0.33,19,0.4,35,0.73,40,0.83,47,0.98,47,0.98,47,0.98,53,1.1,52,1.08,53,1.1,45,0.94
群馬県,592,11.61,5,0.14,5,0.09,25,0.47,61,1.15,66,1.25,79,1.49,63,1.19,71,1.34,80,1.51,62,1.19,75,1.44
埼玉県,1494,9.52,32,0.36,67,0.41,61,0.37,129,0.79,134,0.82,155,0.95,170,1.04,178,1.09,172,1.05,194,1.18,202,1.23
千葉県,596,4.77,9,0.09,14,0.11,13,0.1,37,0.29,59,0.46,64,0.5,73,0.57,83,0.65,71,0.55,76,0.59,97,0.78
東京都,1543,5.98,17,0.08,86,0.33,93,0.35,161,0.61,174,0.66,182,0.69,202,0.77,181,0.69,157,0.59,149,0.56,141,0.54
神奈川県,1400,6.33,22,0.15,56,0.24,51,0.22,109,0.48,130,0.57,167,0.73,180,0.79,168,0.74,166,0.73,178,0.78,173,0.77
新潟県,386,7.02,7,0.13,13,0.24,17,0.31,19,0.35,35,0.64,25,0.45,28,0.51,47,0.85,57,1.04,73,1.33,65,1.18
富山県,156,5.57,4,0.14,5,0.17,5,0.17,11,0.38,7,0.24,11,0.38,26,0.9,27,0.93,11,0.38,26,0.9,23,0.79
石川県,235,8.1,3,0.1,10,0.34,10,0.34,26,0.9,34,1.17,21,0.72,14,0.48,16,0.55,38,1.31,26,0.9,37,1.28
福井県,435,17.4,9,0.36,15,0.6,20,0.8,24,0.96,36,1.44,38,1.52,60,2.4,52,2.08,64,2.56,64,2.56,53,2.12
山梨県,113,4.71,0,0,3,0.13,4,0.17,9,0.38,11,0.46,17,0.71,7,0.29,9,0.38,17,0.71,11,0.46,25,1.04
長野県,420,8.08,5,0.13,14,0.26,19,0.35,28,0.52,30,0.56,35,0.66,38,0.7,51,0.94,70,1.3,66,1.22,64,1.21
岐阜県,641,12.09,5,0.09,18,0.34,16,0.3,32,0.6,60,1.13,71,1.34,83,1.57,76,1.43,105,1.98,83,1.57,92,1.74
静岡県,585,6.57,10,0.11,19,0.21,26,0.29,35,0.39,57,0.64,71,0.8,49,0.55,65,0.73,67,0.75,95,1.07,91,1.02
愛知県,1226,6.77,18,0.1,50,0.27,34,0.19,67,0.37,90,0.5,127,0.7,156,0.86,149,0.82,166,0.91,163,0.9,206,1.13
三重県,769,17.48,8,0.23,32,0.71,22,0.49,81,1.8,74,1.64,59,1.31,83,1.84,116,2.58,99,2.25,93,2.07,102,2.27
滋賀県,321,9.44,4,0.17,10,0.28,15,0.42,17,0.47,21,0.58,47,1.31,41,1.14,40,1.11,41,1.14,42,1.17,43,1.19
京都府,556,7.62,11,0.16,14,0.19,27,0.36,36,0.49,50,0.67,68,0.91,82,1.09,73,1,81,1.08,64,0.86,50,0.68
大阪府,3004,15.98,59,0.31,165,0.85,189,0.98,310,1.61,333,1.73,340,1.76,249,1.8,369,1.9,354,1.82,339,1.76,297,1.55
兵庫県,2248,17.98,11,0.1,67,0.52,110,0.86,161,1.26,177,1.38,210,1.64,216,1.69,295,2.3,298,2.33,387,3.05,316,2.49
奈良県,677,21.84,3,0.3,22,0.65,27,0.79,50,1.47,54,1.59,71,2.09,67,1.97,93,2.74,125,3.68,89,2.62,76,2.24
和歌山県,446,15.93,7,0.25,19,0.66,28,0.97,35,1.21,33,1.14,31,1.07,44,1.52,59,2.03,57,1.97,60,2.07,73,2.52
鳥取県,86,4.53,0,0,3,0.16,2,0.11,2,0.11,3,0.16,10,0.53,12,0.63,17,0.89,16,0.84,10,0.53,11,0.58
島根県,142,6.17,0,0,4,0.17,3,0.13,16,0.7,21,0.91,17,0.74,14,0.61,18,0.78,9,0.39,24,1.04,16,0.7
岡山県,315,5.83,2,0.04,4,0.07,6,0.11,22,0.41,16,0.3,19,0.35,19,0.35,42,0.78,41,0.76,72,1.33,72,1.33
広島県,832,11.56,5,0.09,8,0.11,19,0.26,61,0.82,67,0.91,75,1.01,86,1.16,104,1.41,122,1.65,135,1.82,150,2.03
山口県,1256,29.21,9,0.21,10,0.23,21,0.49,41,0.95,63,1.47,116,2.7,147,3.42,185,4.3,220,5.12,216,5.02,228,5.3
徳島県,279,12.13,11,0.48,2,0.09,7,0.3,20,0.87,25,1.09,33,1.43,19,0.83,34,1.48,32,1.39,40,1.74,56,2.43
香川県,235,8.39,0,0,7,0.25,7,0.25,27,0.96,33,1.18,23,0.82,29,1.04,25,0.89,22,0.79,36,1.29,26,0.93
愛媛県,600,17.65,4,0.17,14,0.39,9,0.25,25,0.69,43,1.19,37,1.03,57,1.58,65,1.81,92,2.56,110,3.06,144,4
高知県,129,5.16,0,0,0,0,2,0.08,7,0.28,6,0.24,10,0.4,16,0.64,11,0.44,16,0.64,29,1.16,32,1.28
福岡県,2033,17.08,19,0.16,30,0.25,48,0.4,106,0.89,138,1.16,141,1.18,227,1.91,266,2.24,299,2.51,382,3.21,377,3.17
佐賀県,321,14.59,1,0.05,1,0.04,5,0.22,14,0.61,29,1.26,26,1.13,20,0.87,45,1.96,56,2.43,60,2.61,64,2.78
長崎県,331,7.7,2,0.05,10,0.23,5,0.11,8,0.18,16,0.36,16,0.36,24,0.55,43,0.98,43,0.98,66,1.53,98,2.28
熊本県,603,12.31,3,0.06,5,0.1,21,0.43,15,0.31,31,0.62,39,0.78,68,1.36,77,1.54,103,2.06,114,2.28,127,2.54
大分県,479,13.31,4,0.11,4,0.11,8,0.22,5,0.14,20,0.56,30,0.83,50,1.39,73,2.03,68,1.89,103,2.86,114,3.17
