報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,
2025年11週(03月10日～03月16日),2025年03月19日作成,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
宮崎県,407,11.63,0,0,8,0.22,8,0.22,17,0.47,17,0.47,30,0.83,34,0.94,49,1.36,74,2.06,71,1.97,99,2.75
鹿児島県,642,12.84,13,0.25,11,0.22,14,0.27,18,0.35,19,0.37,33,0.65,49,0.98,66,1.32,82,1.64,150,3,187,3.74
沖縄県,62,1.94,0,0,1,0.03,1,0.03,5,0.16,5,0.16,6,0.19,5,0.16,5,0.16,10,0.31,8,0.25,16,0.5
,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9299,3.02,311,0.12,988,0.32,710,0.23,1038,0.33,901,0.29,1000,0.32,871,0.28,918,0.29,774,0.25,905,0.29,883,0.28
北海道,517,3.89,15,0.14,50,0.37,53,0.39,47,0.35,61,0.45,64,0.47,57,0.42,51,0.38,40,0.29,35,0.26,44,0.32
青森県,144,4,11,0.34,22,0.59,13,0.35,13,0.35,8,0.22,17,0.46,10,0.27,11,0.3,13,0.35,16,0.43,10,0.27
岩手県,127,3.26,7,0.18,13,0.33,14,0.36,20,0.51,14,0.36,7,0.18,14,0.36,13,0.33,6,0.15,5,0.13,14,0.36
宮城県,286,5.2,24,0.44,43,0.78,29,0.53,34,0.62,35,0.64,26,0.47,20,0.36,28,0.51,10,0.18,15,0.27,22,0.4
秋田県,82,2.56,0,0,5,0.15,5,0.15,15,0.44,10,0.29,3,0.09,14,0.41,3,0.09,10,0.29,8,0.24,9,0.26
山形県,132,5.28,7,0.39,29,1.07,14,0.52,17,0.63,7,0.26,8,0.3,11,0.42,6,0.23,8,0.31,17,0.65,8,0.31
福島県,250,5.21,18,0.37,24,0.49,12,0.24,24,0.49,22,0.46,25,0.52,21,0.44,26,0.54,19,0.4,26,0.54,33,0.69
茨城県,220,3.01,10,0.16,24,0.32,21,0.28,43,0.57,14,0.19,18,0.24,21,0.28,13,0.17,16,0.21,13,0.17,27,0.36
栃木県,155,3.37,3,0.09,9,0.19,12,0.25,30,0.63,25,0.52,26,0.54,14,0.29,15,0.31,8,0.17,6,0.13,7,0.15
群馬県,168,3.29,7,0.2,21,0.4,10,0.19,10,0.19,11,0.21,19,0.36,27,0.51,17,0.32,9,0.17,25,0.48,12,0.23
埼玉県,444,2.83,17,0.19,38,0.23,46,0.28,42,0.26,41,0.25,48,0.29,47,0.29,47,0.29,35,0.21,41,0.25,42,0.26
千葉県,267,2.14,2,0.02,38,0.3,14,0.11,17,0.13,19,0.15,40,0.31,18,0.14,41,0.32,21,0.16,30,0.23,27,0.22
東京都,387,1.5,12,0.06,34,0.13,27,0.1,47,0.18,54,0.21,37,0.14,44,0.17,35,0.13,28,0.11,38,0.14,31,0.12
神奈川県,272,1.23,7,0.05,25,0.11,23,0.1,33,0.14,26,0.11,31,0.13,14,0.06,19,0.08,31,0.14,44,0.19,19,0.08
新潟県,235,4.27,13,0.24,25,0.45,16,0.29,26,0.47,29,0.53,28,0.51,19,0.35,24,0.44,14,0.25,23,0.42,18,0.33
富山県,158,5.64,1,0.04,13,0.45,9,0.31,29,1,30,1.03,20,0.69,15,0.52,17,0.59,8,0.28,9,0.31,7,0.24
石川県,85,2.93,2,0.07,13,0.45,3,0.1,13,0.45,9,0.31,10,0.34,6,0.21,9,0.31,5,0.17,8,0.28,7,0.24
福井県,104,4.16,5,0.2,5,0.2,7,0.28,11,0.44,14,0.56,9,0.36,12,0.48,12,0.48,10,0.4,13,0.52,6,0.24
山梨県,41,1.71,1,0.04,8,0.33,1,0.04,6,0.25,6,0.25,5,0.21,4,0.17,3,0.13,2,0.08,3,0.13,2,0.08
長野県,103,1.98,4,0.1,9,0.17,5,0.09,12,0.22,11,0.2,18,0.34,9,0.17,9,0.17,8,0.15,5,0.09,13,0.25
岐阜県,95,1.79,4,0.08,21,0.4,8,0.15,8,0.15,6,0.11,4,0.08,6,0.11,7,0.13,3,0.06,13,0.25,15,0.28
静岡県,198,2.22,5,0.06,22,0.25,16,0.18,24,0.27,19,0.21,21,0.24,10,0.11,11,0.12,39,0.44,17,0.19,14,0.16
愛知県,363,2.01,4,0.02,46,0.25,29,0.16,38,0.21,34,0.19,49,0.27,39,0.21,23,0.13,28,0.15,43,0.24,30,0.16
三重県,116,2.64,7,0.2,21,0.47,8,0.18,4,0.09,8,0.18,11,0.24,17,0.38,11,0.24,9,0.2,9,0.2,11,0.24
滋賀県,57,1.68,5,0.21,6,0.17,2,0.06,4,0.11,3,0.08,7,0.19,7,0.19,7,0.19,8,0.22,3,0.08,5,0.14
京都府,450,6.16,5,0.07,41,0.55,33,0.44,58,0.78,60,0.8,63,0.84,38,0.51,35,0.48,41,0.55,33,0.45,43,0.58
大阪府,463,2.46,8,0.04,49,0.25,33,0.17,64,0.33,39,0.2,64,0.33,30,0.22,52,0.27,49,0.25,39,0.2,36,0.19
兵庫県,430,3.44,4,0.04,56,0.44,36,0.28,60,0.47,41,0.32,37,0.29,36,0.28,34,0.27,38,0.3,36,0.28,52,0.41
奈良県,74,2.39,0,0,8,0.24,4,0.12,7,0.21,3,0.09,8,0.24,9,0.26,9,0.26,8,0.24,8,0.24,10,0.29
和歌山県,54,1.93,2,0.07,2,0.07,5,0.17,5,0.17,4,0.14,8,0.28,7,0.24,6,0.21,6,0.21,5,0.17,4,0.14
鳥取県,50,2.63,1,0.05,6,0.32,3,0.16,8,0.42,5,0.26,5,0.26,8,0.42,5,0.26,2,0.11,2,0.11,5,0.26
島根県,90,3.91,1,0.04,9,0.39,7,0.3,4,0.17,7,0.3,11,0.48,6,0.26,10,0.43,10,0.43,11,0.48,14,0.61
岡山県,124,2.3,2,0.04,10,0.19,7,0.13,6,0.11,8,0.15,11,0.2,15,0.28,17,0.31,14,0.26,19,0.35,15,0.28
広島県,294,4.08,4,0.08,25,0.34,23,0.31,43,0.58,28,0.38,34,0.46,21,0.28,33,0.45,34,0.46,24,0.32,25,0.34
山口県,89,2.07,6,0.14,6,0.14,5,0.12,11,0.26,5,0.12,6,0.14,15,0.35,8,0.19,7,0.16,12,0.28,8,0.19
徳島県,52,2.26,3,0.13,9,0.39,7,0.3,6,0.26,4,0.17,2,0.09,7,0.3,4,0.17,2,0.09,3,0.13,5,0.22
香川県,77,2.75,1,0.04,1,0.04,7,0.25,10,0.36,7,0.25,12,0.43,8,0.29,10,0.36,7,0.25,9,0.32,5,0.18
愛媛県,192,5.65,3,0.13,12,0.33,7,0.19,16,0.44,11,0.31,12,0.33,31,0.86,34,0.94,28,0.78,21,0.58,17,0.47
高知県,34,1.36,0,0,3,0.12,2,0.08,4,0.16,1,0.04,3,0.12,5,0.2,5,0.2,4,0.16,3,0.12,4,0.16
福岡県,527,4.43,32,0.27,46,0.39,38,0.32,49,0.41,50,0.42,39,0.33,45,0.38,63,0.53,26,0.22,68,0.57,71,0.6
佐賀県,117,5.32,1,0.05,10,0.43,9,0.39,11,0.48,13,0.57,8,0.35,15,0.65,23,1,11,0.48,10,0.43,6,0.26
長崎県,165,3.84,3,0.07,15,0.34,9,0.2,11,0.25,14,0.32,14,0.32,15,0.34,19,0.43,15,0.34,26,0.6,24,0.56
熊本県,110,2.24,6,0.12,13,0.27,10,0.2,13,0.27,14,0.28,9,0.18,6,0.12,9,0.18,6,0.12,14,0.28,10,0.2
大分県,174,4.83,16,0.44,21,0.58,21,0.58,22,0.61,21,0.58,13,0.36,5,0.14,16,0.44,11,0.31,11,0.31,17,0.47
宮崎県,182,5.2,9,0.27,33,0.92,16,0.44,12,0.33,16,0.44,24,0.67,16,0.44,11,0.31,10,0.28,23,0.64,12,0.33
鹿児島県,483,9.66,13,0.25,40,0.78,29,0.57,45,0.88,27,0.53,62,1.22,50,1,54,1.08,52,1.04,56,1.12,55,1.1
沖縄県,62,1.94,0,0,9,0.28,2,0.06,6,0.19,7,0.22,4,0.13,7,0.22,3,0.09,5,0.16,7,0.22,12,0.38
,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,70546,22.9,1609,0.61,5428,1.73,5750,1.84,7415,2.37,7825,2.5,7765,2.48,6441,2.09,7647,2.44,6097,1.95,7296,2.33,7273,2.33
北海道,5045,37.93,116,1.1,324,2.38,354,2.6,541,3.98,519,3.82,548,4.03,487,3.58,573,4.21,436,3.21,560,4.12,587,4.32
青森県,414,11.5,12,0.38,39,1.05,44,1.19,50,1.35,31,0.84,34,0.92,36,0.97,45,1.22,47,1.27,40,1.08,36,0.97
岩手県,1524,39.08,24,0.62,99,2.54,108,2.77,156,4,186,4.77,178,4.56,137,3.51,182,4.67,130,3.33,164,4.21,160,4.1
宮城県,1297,23.58,31,0.56,100,1.82,94,1.71,100,1.82,133,2.42,122,2.22,117,2.13,170,3.09,144,2.62,156,2.84,130,2.36
秋田県,530,16.56,1,0.07,21,0.62,35,1.03,30,0.88,45,1.32,41,1.21,38,1.12,70,2.06,56,1.65,82,2.41,111,3.26
山形県,790,31.6,17,0.94,53,1.96,49,1.81,60,2.22,77,2.85,74,2.74,73,2.81,97,3.73,69,2.65,119,4.58,102,3.92
福島県,1011,21.06,39,0.8,57,1.16,70,1.43,93,1.9,111,2.31,99,2.06,112,2.33,120,2.5,105,2.19,101,2.1,104,2.17
茨城県,3759,51.49,179,2.93,429,5.72,323,4.31,398,5.31,338,4.57,402,5.36,331,4.41,335,4.47,314,4.19,305,4.07,405,5.4
栃木県,1060,23.04,27,0.82,84,1.75,82,1.71,98,2.04,100,2.08,106,2.21,94,1.96,128,2.67,118,2.46,129,2.69,94,1.96
群馬県,563,11.04,16,0.46,51,0.96,58,1.09,62,1.17,52,0.98,63,1.19,54,1.02,57,1.08,38,0.72,56,1.08,56,1.08
埼玉県,4220,26.88,72,0.8,324,1.98,331,2.02,398,2.43,483,2.95,485,2.96,377,2.3,477,2.91,384,2.34,455,2.77,434,2.65
千葉県,4133,33.06,69,0.66,334,2.61,343,2.68,470,3.67,526,4.11,505,3.95,349,2.73,419,3.27,343,2.68,395,3.09,380,3.04
東京都,5885,22.81,89,0.44,409,1.56,464,1.76,610,2.32,671,2.55,699,2.65,522,1.98,646,2.45,489,1.85,663,2.51,623,2.37
神奈川県,3508,15.87,22,0.15,268,1.17,266,1.17,374,1.63,380,1.67,391,1.7,355,1.55,390,1.72,296,1.3,382,1.68,384,1.7
新潟県,2323,42.24,78,1.42,161,2.93,185,3.36,244,4.44,268,4.87,229,4.16,223,4.05,272,4.95,211,3.84,228,4.15,224,4.07
富山県,1363,48.68,18,0.64,104,3.59,120,4.14,155,5.34,147,5.07,138,4.76,112,3.86,150,5.17,111,3.83,141,4.86,167,5.76
石川県,793,27.34,20,0.69,51,1.76,73,2.52,77,2.66,91,3.14,85,2.93,85,2.93,77,2.66,58,2,99,3.41,77,2.66
福井県,465,18.6,8,0.32,27,1.08,30,1.2,49,1.96,36,1.44,49,1.96,56,2.24,44,1.76,57,2.28,61,2.44,48,1.92
山梨県,131,5.46,2,0.08,9,0.38,10,0.42,9,0.38,18,0.75,14,0.58,16,0.67,8,0.33,14,0.58,18,0.75,13,0.54
