累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年34週(08月19日～08月25日),2024年08月28日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,1158510,235.28,102122,32.66,83003,26.54,378441,121.02,474401,151.71,17137,5.48,342705,109.6,5651,1.81,26897,8.6,58514,18.71,4437,1.42,463,0.67,13446,19.4,318,0.66,405,0.84,5364,11.18,29,0.06,255,0.53,1271899,258.31
北海道,57672,259.78,4972,36.56,8867,65.2,30548,224.62,14758,108.51,917,6.74,7857,57.77,19,0.14,580,4.26,2326,17.1,122,0.9,1,0.04,183,6.54,4,0.18,6,0.27,89,4.05,-,-,20,0.91,53321,240.18
青森県,10461,180.36,644,17.89,965,26.81,3256,90.44,3728,103.56,249,6.92,2950,81.94,196,5.44,324,9,572,15.89,34,0.94,1,0.1,78,7.8,3,0.5,2,0.33,116,19.33,-,-,-,-,13537,233.4
岩手県,12068,194.65,1230,31.54,2453,62.9,3964,101.64,6478,166.1,184,4.72,2699,69.21,162,4.15,461,11.82,477,12.23,63,1.62,1,0.07,189,13.5,4,0.21,8,0.42,108,5.68,-,-,8,0.42,19318,311.58
宮城県,23737,263.74,1894,35.07,2002,37.07,6386,118.26,7519,139.24,282,5.22,4781,88.54,18,0.33,534,9.89,743,13.76,77,1.43,1,0.08,143,11.92,3,0.3,7,0.7,29,2.9,1,0.1,2,0.2,27481,305.34
秋田県,8169,160.18,296,8.97,677,20.52,2540,76.97,2799,84.82,181,5.48,1432,43.39,12,0.36,167,5.06,250,7.58,8,0.24,4,0.67,70,11.67,1,0.13,-,-,6,0.75,-,-,2,0.25,12866,252.27
山形県,11962,284.81,1150,42.59,1641,60.78,6928,256.59,4292,158.96,151,5.59,1737,64.33,18,0.67,331,12.26,525,19.44,28,1.04,-,-,72,10.29,-,-,-,-,10,1,-,-,3,0.3,10588,252.1
福島県,16844,205.41,1998,40.78,1970,40.2,6167,125.86,5556,113.39,317,6.47,4185,85.41,35,0.71,598,12.2,559,11.41,48,0.98,8,0.62,254,19.54,5,0.71,1,0.14,65,9.29,2,0.29,7,1,24180,294.88
茨城県,26791,225.13,1261,17.04,1600,21.62,12916,174.54,8980,121.35,250,3.38,5457,73.74,96,1.3,388,5.24,1158,15.65,103,1.39,3,0.19,812,50.75,2,0.15,13,1,171,13.15,-,-,3,0.23,39533,332.21
栃木県,15239,203.19,1158,24.64,694,14.77,4893,104.11,3716,79.06,133,2.83,5271,112.15,146,3.11,454,9.66,619,13.17,44,0.94,2,0.18,233,21.18,3,0.43,3,0.43,22,3.14,4,0.57,6,0.86,20846,277.95
群馬県,20662,245.98,1083,20.83,1605,30.87,5964,114.69,8507,163.6,201,3.87,5828,112.08,51,0.98,622,11.96,1553,29.87,89,1.71,4,0.31,190,14.62,4,0.44,3,0.33,33,3.67,-,-,7,0.78,21881,260.49
埼玉県,75523,293.86,4065,25.25,4068,25.27,22161,137.65,29046,180.41,1428,8.87,20506,127.37,416,2.58,1472,9.14,4213,26.17,394,2.45,98,2.39,1016,24.78,7,0.58,14,1.17,201,16.75,1,0.08,4,0.33,68518,266.61
千葉県,58463,292.32,2312,18.65,2593,20.91,20022,161.47,21034,169.63,904,7.29,13016,104.97,419,3.38,993,8.01,2838,22.89,228,1.84,16,0.47,675,19.85,13,1.44,10,1.11,70,7.78,-,-,6,0.67,62320,311.6
東京都,85730,207.08,5348,20.49,3377,12.94,26355,100.98,43788,167.77,1592,6.1,29475,112.93,1805,6.92,2334,8.94,5717,21.9,542,2.08,10,0.26,580,15.26,20,0.8,14,0.56,389,15.56,7,0.28,6,0.24,73147,176.68
神奈川県,88528,243.88,4014,17.53,3469,15.15,19962,87.17,29284,127.88,1539,6.72,22654,98.93,1202,5.25,1731,7.56,4858,21.21,426,1.86,40,0.8,2102,42.04,14,1.27,29,2.64,117,10.64,1,0.09,5,0.45,74834,206.15
新潟県,23477,272.99,2475,45,3471,63.11,9857,179.22,6877,125.04,326,5.93,6837,124.31,29,0.53,475,8.64,1248,22.69,61,1.11,22,2.2,78,7.8,5,0.42,10,0.83,30,2.5,1,0.08,17,1.42,24257,282.06
富山県,12792,272.17,1185,42.32,1781,63.61,4588,163.86,6839,244.25,213,7.61,3932,140.43,19,0.68,243,8.68,423,15.11,18,0.64,2,0.29,53,7.57,-,-,3,0.6,35,7,-,-,1,0.2,11359,241.68
石川県,13536,288,713,25.46,882,31.5,2338,83.5,6888,246,234,8.36,3435,122.68,12,0.43,200,7.14,514,18.36,15,0.54,-,-,400,66.67,-,-,2,0.5,28,7,-,-,-,-,14035,298.62
福井県,9602,246.21,1529,61.16,1015,40.6,3199,127.96,4935,197.4,101,4.04,2970,118.8,13,0.52,205,8.2,225,9,22,0.88,-,-,22,7.33,12,2,12,2,210,35,-,-,-,-,7475,191.67
