累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年34週(08月19日～08月25日),2024年08月28日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
山梨県,7191,175.39,381,15.88,422,17.58,1933,80.54,2626,109.42,81,3.38,1961,81.71,16,0.67,190,7.92,239,9.96,27,1.13,74,8.22,293,32.56,2,0.2,5,0.5,12,1.2,-,-,1,0.1,11570,282.2
長野県,16879,194.01,1125,21.23,1121,21.15,5958,112.42,7199,135.83,241,4.55,6033,113.83,56,1.06,360,6.79,863,16.28,59,1.11,26,2.89,769,85.44,12,1,7,0.58,25,2.08,-,-,3,0.25,26946,309.72
岐阜県,14547,167.21,1479,27.91,670,12.64,4334,81.77,5106,96.34,109,2.06,5284,99.7,13,0.25,381,7.19,634,11.96,53,1,-,-,70,6.36,6,1.2,14,2.8,106,21.2,-,-,3,0.6,28523,327.85
静岡県,25907,186.38,2946,33.1,2054,23.08,8959,100.66,10739,120.66,362,4.07,13270,149.1,62,0.7,751,8.44,3184,35.78,159,1.79,-,-,247,11.23,12,1.2,10,1,88,8.8,-,-,-,-,39527,284.37
愛知県,49907,255.93,4102,22.54,2357,12.95,15078,82.85,19699,108.24,719,3.95,21734,119.42,70,0.38,1046,5.75,2175,11.95,195,1.07,50,1.43,311,8.89,31,2.07,24,1.6,310,20.67,-,-,7,0.47,68449,351.02
三重県,15486,218.11,2042,46.41,1386,31.5,5986,136.05,7480,170,156,3.55,10194,231.68,13,0.3,369,8.39,951,21.61,38,0.86,1,0.09,35,3.18,4,0.44,15,1.67,44,4.89,-,-,1,0.11,18135,255.42
滋賀県,11713,198.53,956,27.31,817,23.34,2778,79.37,4639,132.54,168,4.8,5795,165.57,19,0.54,249,7.11,403,11.51,59,1.69,1,0.13,46,5.75,5,0.71,13,1.86,80,11.43,-,-,10,1.43,12992,220.2
京都府,27661,221.29,1764,23.21,1720,22.63,5411,71.2,10733,141.22,492,6.47,6665,87.7,45,0.59,431,5.67,955,12.57,87,1.14,2,0.11,141,7.83,2,0.33,8,1.33,105,17.5,-,-,1,0.17,28157,225.26
大阪府,62402,204.6,8385,42.78,3390,17.3,20410,104.13,32476,165.69,1127,5.75,21432,109.35,112,0.57,1432,7.31,3303,16.85,291,1.48,18,0.35,604,11.84,18,1.06,18,1.06,690,40.59,3,0.18,40,2.35,57388,188.16
兵庫県,38176,192.81,5021,39.23,2720,21.25,11812,92.28,26312,205.56,550,4.3,18104,141.44,104,0.81,986,7.7,2194,17.14,204,1.59,21,0.62,657,19.32,20,1.43,24,1.71,270,19.29,-,-,4,0.29,41009,207.12
奈良県,11967,221.61,1731,52.45,749,22.7,3013,91.3,5544,168,103,3.12,4469,135.42,3,0.09,304,9.21,287,8.7,23,0.7,4,0.44,211,23.44,6,1,1,0.17,49,8.17,-,-,1,0.17,14479,268.13
和歌山県,9275,193.23,1532,51.07,451,15.03,2336,77.87,4657,155.23,145,4.83,3038,101.27,10,0.33,268,8.93,412,13.73,34,1.13,4,1,27,6.75,3,0.27,11,1,87,7.91,3,0.27,3,0.27,11568,241
鳥取県,4827,166.45,665,35,701,36.89,4554,239.68,3267,171.95,101,5.32,1085,57.11,5,0.26,138,7.26,332,17.47,14,0.74,1,0.2,34,6.8,9,1.8,15,3,3,0.6,1,0.2,11,2.2,7565,260.86
島根県,5736,150.95,627,27.26,455,19.78,1649,71.7,3937,171.17,109,4.74,1212,52.7,6,0.26,313,13.61,208,9.04,21,0.91,-,-,16,5.33,7,0.88,2,0.25,25,3.13,-,-,1,0.13,8431,221.87
岡山県,14766,175.79,1550,28.7,1267,23.46,4293,79.5,7885,146.02,134,2.48,6393,118.39,66,1.22,411,7.61,857,15.87,80,1.48,2,0.17,107,8.92,2,0.4,9,1.8,24,4.8,-,-,4,0.8,20528,244.38
広島県,21834,193.22,2424,34.63,2275,32.5,6871,98.16,12901,184.3,323,4.61,11012,157.31,36,0.51,558,7.97,798,11.4,62,0.89,6,0.33,500,27.78,7,0.33,10,0.48,232,11.05,-,-,18,0.86,26120,231.15
山口県,15563,232.28,2881,67,974,22.65,6734,156.6,6421,149.33,100,2.33,5526,128.51,31,0.72,512,11.91,945,21.98,29,0.67,-,-,120,13.33,2,0.22,2,0.22,104,11.56,1,0.11,1,0.11,16453,245.57
徳島県,7041,190.3,981,42.65,359,15.61,1277,55.52,2950,128.26,95,4.13,3049,132.57,7,0.3,216,9.39,220,9.57,9,0.39,-,-,12,4,2,0.33,3,0.5,14,2.33,-,-,-,-,10528,284.54
香川県,8064,171.57,1023,36.54,594,21.21,2861,102.18,5852,209,89,3.18,3050,108.93,18,0.64,297,10.61,598,21.36,39,1.39,-,-,28,5.6,8,1.6,1,0.2,133,26.6,1,0.2,2,0.4,11932,253.87
愛媛県,14885,248.08,2240,62.22,850,23.61,6251,173.64,8627,239.64,153,4.25,4251,118.08,8,0.22,478,13.28,1091,30.31,38,1.06,2,0.25,343,42.88,2,0.33,1,0.17,9,1.5,-,-,5,0.83,16298,271.63
高知県,9586,217.86,1218,48.72,392,15.68,2842,113.68,2527,101.08,96,3.84,1960,78.4,14,0.56,205,8.2,574,22.96,19,0.76,-,-,12,4,10,1.25,2,0.25,84,10.5,1,0.13,12,1.5,12777,290.39
福岡県,66492,335.82,6497,54.14,2968,24.73,26333,219.44,18986,158.22,981,8.18,14041,117.01,135,1.13,1488,12.4,2501,20.84,182,1.52,9,0.35,261,10.04,15,1,16,1.07,177,11.8,1,0.07,13,0.87,50698,256.05
佐賀県,10551,277.66,1447,65.77,680,30.91,2901,131.86,1997,90.77,126,5.73,2262,102.82,6,0.27,397,18.05,705,32.05,15,0.68,1,0.25,26,6.5,13,2.17,11,1.83,172,28.67,-,-,4,0.67,15215,400.39
長崎県,18829,272.88,2152,50.05,1597,37.14,5336,124.09,4024,93.58,204,4.74,4588,106.7,12,0.28,398,9.26,350,8.14,37,0.86,18,2.57,180,25.71,4,0.33,9,0.75,106,8.83,-,-,3,0.25,21955,318.19
熊本県,22024,278.78,1365,27.3,1243,24.86,5884,117.68,10501,210.02,331,6.62,5537,110.74,32,0.64,804,16.08,1172,23.44,68,1.36,2,0.25,322,40.25,4,0.27,15,1,40,2.67,1,0.07,-,-,26797,339.2
大分県,17050,293.97,1512,42,1281,35.58,4885,135.69,12198,338.83,156,4.33,4085,113.47,14,0.39,574,15.94,879,24.42,90,2.5,1,0.2,107,21.4,1,0.09,7,0.64,180,16.36,-,-,4,0.36,17651,304.33
宮崎県,17364,304.63,2319,66.26,1529,43.69,6333,180.94,7468,213.37,177,5.06,2657,75.91,29,0.83,490,14,1276,36.46,52,1.49,2,0.33,168,28,-,-,1,0.14,24,3.43,-,-,3,0.43,19668,345.05
鹿児島県,20579,233.85,3035,60.7,4027,80.54,5888,117.76,10539,210.78,257,5.14,7749,154.98,30,0.6,550,11,1170,23.4,71,1.42,1,0.14,244,34.86,3,0.25,2,0.17,121,10.08,-,-,1,0.08,29835,339.03
沖縄県,20952,395.32,1395,46.5,824,27.47,3497,116.57,2087,69.57,250,8.33,1247,41.57,11,0.37,189,6.3,420,14,60,2,4,0.5,405,50.63,8,1.14,12,1.71,321,45.86,-,-,2,0.29,21209,400.17
