報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,
2025年09週(02月24日～03月02日),2025年03月05日作成,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,21795,7.1,447,0.17,1070,0.34,1277,0.41,2286,0.73,2694,0.86,3000,0.96,3235,1.05,3802,1.22,3984,1.27
北海道,1640,12.42,62,0.59,158,1.16,153,1.13,234,1.72,263,1.93,227,1.67,201,1.48,199,1.46,143,1.05
青森県,120,3.33,7,0.22,13,0.35,12,0.32,8,0.22,15,0.41,13,0.35,18,0.49,16,0.43,18,0.49
岩手県,156,4,8,0.21,7,0.18,6,0.15,11,0.28,42,1.08,32,0.82,23,0.59,13,0.33,14,0.36
宮城県,249,4.53,5,0.09,8,0.15,12,0.22,25,0.45,14,0.25,41,0.75,32,0.58,67,1.22,45,0.82
秋田県,69,2.23,5,0.33,5,0.15,7,0.21,14,0.41,9,0.26,6,0.18,10,0.29,6,0.18,7,0.21
山形県,106,4.24,4,0.22,5,0.19,15,0.56,12,0.44,14,0.52,13,0.48,14,0.54,14,0.54,15,0.58
福島県,253,5.27,8,0.16,14,0.29,16,0.33,52,1.06,38,0.79,27,0.56,29,0.6,29,0.6,40,0.83
茨城県,362,4.96,15,0.25,15,0.2,23,0.31,43,0.57,35,0.47,44,0.59,54,0.72,62,0.83,71,0.95
栃木県,351,7.63,11,0.33,19,0.4,35,0.73,40,0.83,47,0.98,47,0.98,47,0.98,53,1.1,52,1.08
群馬県,455,8.92,5,0.14,5,0.09,25,0.47,61,1.15,66,1.25,79,1.49,63,1.19,71,1.34,80,1.51
埼玉県,1098,7.08,32,0.36,67,0.41,61,0.37,129,0.79,134,0.82,155,0.95,170,1.04,178,1.09,172,1.05
千葉県,423,3.38,9,0.09,14,0.11,13,0.1,37,0.29,59,0.46,64,0.5,73,0.57,83,0.65,71,0.55
東京都,1253,4.89,17,0.08,86,0.33,93,0.35,161,0.61,174,0.66,182,0.69,202,0.77,181,0.69,157,0.59
神奈川県,1046,4.78,22,0.15,56,0.24,51,0.22,109,0.48,130,0.57,167,0.73,180,0.79,168,0.74,163,0.72
新潟県,248,4.51,7,0.13,13,0.24,17,0.31,19,0.35,35,0.64,25,0.45,28,0.51,47,0.85,57,1.04
富山県,107,3.82,4,0.14,5,0.17,5,0.17,11,0.38,7,0.24,11,0.38,26,0.9,27,0.93,11,0.38
石川県,172,5.93,3,0.1,10,0.34,10,0.34,26,0.9,34,1.17,21,0.72,14,0.48,16,0.55,38,1.31
福井県,318,12.72,9,0.36,15,0.6,20,0.8,24,0.96,36,1.44,38,1.52,60,2.4,52,2.08,64,2.56
山梨県,77,3.21,0,0,3,0.13,4,0.17,9,0.38,11,0.46,17,0.71,7,0.29,9,0.38,17,0.71
長野県,290,5.58,5,0.13,14,0.26,19,0.35,28,0.52,30,0.56,35,0.66,38,0.7,51,0.94,70,1.3
岐阜県,466,8.79,5,0.09,18,0.34,16,0.3,32,0.6,60,1.13,71,1.34,83,1.57,76,1.43,105,1.98
静岡県,399,4.48,10,0.11,19,0.21,26,0.29,35,0.39,57,0.64,71,0.8,49,0.55,65,0.73,67,0.75
愛知県,857,4.73,18,0.1,50,0.27,34,0.19,67,0.37,90,0.5,127,0.7,156,0.86,149,0.82,166,0.91
三重県,574,13.35,8,0.23,32,0.71,22,0.49,81,1.8,74,1.64,59,1.31,83,1.84,116,2.58,99,2.25
滋賀県,236,6.94,4,0.17,10,0.28,15,0.42,17,0.47,21,0.58,47,1.31,41,1.14,40,1.11,41,1.14
京都府,442,6.05,11,0.16,14,0.19,27,0.36,36,0.49,50,0.67,68,0.91,82,1.09,73,1,81,1.08
大阪府,2368,12.66,59,0.31,165,0.85,189,0.98,310,1.61,333,1.73,340,1.76,249,1.8,369,1.9,354,1.82
兵庫県,1545,12.36,11,0.1,67,0.52,110,0.86,161,1.26,177,1.38,210,1.64,216,1.69,295,2.3,298,2.33
奈良県,512,16.52,3,0.3,22,0.65,27,0.79,50,1.47,54,1.59,71,2.09,67,1.97,93,2.74,125,3.68
和歌山県,313,11.18,7,0.25,19,0.66,28,0.97,35,1.21,33,1.14,31,1.07,44,1.52,59,2.03,57,1.97
鳥取県,65,3.42,0,0,3,0.16,2,0.11,2,0.11,3,0.16,10,0.53,12,0.63,17,0.89,16,0.84
島根県,102,4.43,0,0,4,0.17,3,0.13,16,0.7,21,0.91,17,0.74,14,0.61,18,0.78,9,0.39
岡山県,171,3.17,2,0.04,4,0.07,6,0.11,22,0.41,16,0.3,19,0.35,19,0.35,42,0.78,41,0.76
広島県,547,7.7,5,0.09,8,0.11,19,0.26,61,0.82,67,0.91,75,1.01,86,1.16,104,1.41,122,1.65
山口県,812,18.88,9,0.21,10,0.23,21,0.49,41,0.95,63,1.47,116,2.7,147,3.42,185,4.3,220,5.12
徳島県,183,7.96,11,0.48,2,0.09,7,0.3,20,0.87,25,1.09,33,1.43,19,0.83,34,1.48,32,1.39
香川県,173,6.18,0,0,7,0.25,7,0.25,27,0.96,33,1.18,23,0.82,29,1.04,25,0.89,22,0.79
愛媛県,346,10.18,4,0.17,14,0.39,9,0.25,25,0.69,43,1.19,37,1.03,57,1.58,65,1.81,92,2.56
高知県,68,2.72,0,0,0,0,2,0.08,7,0.28,6,0.24,10,0.4,16,0.64,11,0.44,16,0.64
福岡県,1255,10.55,19,0.16,30,0.25,48,0.4,106,0.89,138,1.16,141,1.18,227,1.91,266,2.24,280,2.35
佐賀県,197,8.95,1,0.05,1,0.04,5,0.22,14,0.61,29,1.26,26,1.13,20,0.87,45,1.96,56,2.43
長崎県,167,3.8,2,0.05,10,0.23,5,0.11,8,0.18,16,0.36,16,0.36,24,0.55,43,0.98,43,0.98
熊本県,362,7.39,3,0.06,5,0.1,21,0.43,15,0.31,31,0.62,39,0.78,68,1.36,77,1.54,103,2.06
大分県,262,7.28,4,0.11,4,0.11,8,0.22,5,0.14,20,0.56,30,0.83,50,1.39,73,2.03,68,1.89
宮崎県,237,6.77,0,0,8,0.22,8,0.22,17,0.47,17,0.47,30,0.83,34,0.94,49,1.36,74,2.06
鹿児島県,305,6.1,13,0.25,11,0.22,14,0.27,18,0.35,19,0.37,33,0.65,49,0.98,66,1.32,82,1.64
沖縄県,38,1.19,0,0,1,0.03,1,0.03,5,0.16,5,0.16,6,0.19,5,0.16,5,0.16,10,0.31
,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,7511,2.45,311,0.12,988,0.32,710,0.23,1038,0.33,901,0.29,1000,0.32,871,0.28,918,0.29,774,0.25
北海道,438,3.32,15,0.14,50,0.37,53,0.39,47,0.35,61,0.45,64,0.47,57,0.42,51,0.38,40,0.29
青森県,118,3.28,11,0.34,22,0.59,13,0.35,13,0.35,8,0.22,17,0.46,10,0.27,11,0.3,13,0.35
岩手県,108,2.77,7,0.18,13,0.33,14,0.36,20,0.51,14,0.36,7,0.18,14,0.36,13,0.33,6,0.15
宮城県,249,4.53,24,0.44,43,0.78,29,0.53,34,0.62,35,0.64,26,0.47,20,0.36,28,0.51,10,0.18
秋田県,65,2.1,0,0,5,0.15,5,0.15,15,0.44,10,0.29,3,0.09,14,0.41,3,0.09,10,0.29
山形県,107,4.28,7,0.39,29,1.07,14,0.52,17,0.63,7,0.26,8,0.3,11,0.42,6,0.23,8,0.31
福島県,191,3.98,18,0.37,24,0.49,12,0.24,24,0.49,22,0.46,25,0.52,21,0.44,26,0.54,19,0.4
茨城県,180,2.47,10,0.16,24,0.32,21,0.28,43,0.57,14,0.19,18,0.24,21,0.28,13,0.17,16,0.21
栃木県,142,3.09,3,0.09,9,0.19,12,0.25,30,0.63,25,0.52,26,0.54,14,0.29,15,0.31,8,0.17
群馬県,131,2.57,7,0.2,21,0.4,10,0.19,10,0.19,11,0.21,19,0.36,27,0.51,17,0.32,9,0.17
埼玉県,361,2.33,17,0.19,38,0.23,46,0.28,42,0.26,41,0.25,48,0.29,47,0.29,47,0.29,35,0.21
千葉県,210,1.68,2,0.02,38,0.3,14,0.11,17,0.13,19,0.15,40,0.31,18,0.14,41,0.32,21,0.16
東京都,318,1.24,12,0.06,34,0.13,27,0.1,47,0.18,54,0.21,37,0.14,44,0.17,35,0.13,28,0.11
神奈川県,209,0.95,7,0.05,25,0.11,23,0.1,33,0.14,26,0.11,31,0.13,14,0.06,19,0.08,31,0.14
新潟県,194,3.53,13,0.24,25,0.45,16,0.29,26,0.47,29,0.53,28,0.51,19,0.35,24,0.44,14,0.25
富山県,142,5.07,1,0.04,13,0.45,9,0.31,29,1,30,1.03,20,0.69,15,0.52,17,0.59,8,0.28
石川県,70,2.41,2,0.07,13,0.45,3,0.1,13,0.45,9,0.31,10,0.34,6,0.21,9,0.31,5,0.17
福井県,85,3.4,5,0.2,5,0.2,7,0.28,11,0.44,14,0.56,9,0.36,12,0.48,12,0.48,10,0.4
山梨県,36,1.5,1,0.04,8,0.33,1,0.04,6,0.25,6,0.25,5,0.21,4,0.17,3,0.13,2,0.08
長野県,85,1.63,4,0.1,9,0.17,5,0.09,12,0.22,11,0.2,18,0.34,9,0.17,9,0.17,8,0.15
岐阜県,67,1.26,4,0.08,21,0.4,8,0.15,8,0.15,6,0.11,4,0.08,6,0.11,7,0.13,3,0.06
静岡県,167,1.88,5,0.06,22,0.25,16,0.18,24,0.27,19,0.21,21,0.24,10,0.11,11,0.12,39,0.44
愛知県,290,1.6,4,0.02,46,0.25,29,0.16,38,0.21,34,0.19,49,0.27,39,0.21,23,0.13,28,0.15
三重県,96,2.23,7,0.2,21,0.47,8,0.18,4,0.09,8,0.18,11,0.24,17,0.38,11,0.24,9,0.2
滋賀県,49,1.44,5,0.21,6,0.17,2,0.06,4,0.11,3,0.08,7,0.19,7,0.19,7,0.19,8,0.22
京都府,374,5.12,5,0.07,41,0.55,33,0.44,58,0.78,60,0.8,63,0.84,38,0.51,35,0.48,41,0.55
大阪府,388,2.07,8,0.04,49,0.25,33,0.17,64,0.33,39,0.2,64,0.33,30,0.22,52,0.27,49,0.25
兵庫県,342,2.74,4,0.04,56,0.44,36,0.28,60,0.47,41,0.32,37,0.29,36,0.28,34,0.27,38,0.3
奈良県,56,1.81,0,0,8,0.24,4,0.12,7,0.21,3,0.09,8,0.24,9,0.26,9,0.26,8,0.24
和歌山県,45,1.61,2,0.07,2,0.07,5,0.17,5,0.17,4,0.14,8,0.28,7,0.24,6,0.21,6,0.21
鳥取県,43,2.26,1,0.05,6,0.32,3,0.16,8,0.42,5,0.26,5,0.26,8,0.42,5,0.26,2,0.11
島根県,65,2.83,1,0.04,9,0.39,7,0.3,4,0.17,7,0.3,11,0.48,6,0.26,10,0.43,10,0.43
岡山県,90,1.67,2,0.04,10,0.19,7,0.13,6,0.11,8,0.15,11,0.2,15,0.28,17,0.31,14,0.26
広島県,245,3.45,4,0.08,25,0.34,23,0.31,43,0.58,28,0.38,34,0.46,21,0.28,33,0.45,34,0.46
山口県,69,1.6,6,0.14,6,0.14,5,0.12,11,0.26,5,0.12,6,0.14,15,0.35,8,0.19,7,0.16
徳島県,44,1.91,3,0.13,9,0.39,7,0.3,6,0.26,4,0.17,2,0.09,7,0.3,4,0.17,2,0.09
香川県,63,2.25,1,0.04,1,0.04,7,0.25,10,0.36,7,0.25,12,0.43,8,0.29,10,0.36,7,0.25
愛媛県,154,4.53,3,0.13,12,0.33,7,0.19,16,0.44,11,0.31,12,0.33,31,0.86,34,0.94,28,0.78
高知県,27,1.08,0,0,3,0.12,2,0.08,4,0.16,1,0.04,3,0.12,5,0.2,5,0.2,4,0.16
福岡県,388,3.26,32,0.27,46,0.39,38,0.32,49,0.41,50,0.42,39,0.33,45,0.38,63,0.53,26,0.22
佐賀県,101,4.59,1,0.05,10,0.43,9,0.39,11,0.48,13,0.57,8,0.35,15,0.65,23,1,11,0.48
長崎県,115,2.61,3,0.07,15,0.34,9,0.2,11,0.25,14,0.32,14,0.32,15,0.34,19,0.43,15,0.34
熊本県,86,1.76,6,0.12,13,0.27,10,0.2,13,0.27,14,0.28,9,0.18,6,0.12,9,0.18,6,0.12
大分県,146,4.06,16,0.44,21,0.58,21,0.58,22,0.61,21,0.58,13,0.36,5,0.14,16,0.44,11,0.31
宮崎県,147,4.2,9,0.27,33,0.92,16,0.44,12,0.33,16,0.44,24,0.67,16,0.44,11,0.31,10,0.28
鹿児島県,372,7.44,13,0.25,40,0.78,29,0.57,45,0.88,27,0.53,62,1.22,50,1,54,1.08,52,1.04
沖縄県,43,1.34,0,0,9,0.28,2,0.06,6,0.19,7,0.22,4,0.13,7,0.22,3,0.09,5,0.16
,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,55977,18.23,1609,0.61,5428,1.73,5750,1.84,7415,2.37,7825,2.5,7765,2.48,6441,2.09,7647,2.44,6097,1.95
北海道,3898,29.53,116,1.1,324,2.38,354,2.6,541,3.98,519,3.82,548,4.03,487,3.58,573,4.21,436,3.21
青森県,338,9.39,12,0.38,39,1.05,44,1.19,50,1.35,31,0.84,34,0.92,36,0.97,45,1.22,47,1.27
岩手県,1200,30.77,24,0.62,99,2.54,108,2.77,156,4,186,4.77,178,4.56,137,3.51,182,4.67,130,3.33
宮城県,1011,18.38,31,0.56,100,1.82,94,1.71,100,1.82,133,2.42,122,2.22,117,2.13,170,3.09,144,2.62
秋田県,337,10.87,1,0.07,21,0.62,35,1.03,30,0.88,45,1.32,41,1.21,38,1.12,70,2.06,56,1.65
山形県,569,22.76,17,0.94,53,1.96,49,1.81,60,2.22,77,2.85,74,2.74,73,2.81,97,3.73,69,2.65
福島県,806,16.79,39,0.8,57,1.16,70,1.43,93,1.9,111,2.31,99,2.06,112,2.33,120,2.5,105,2.19
茨城県,3049,41.77,179,2.93,429,5.72,323,4.31,398,5.31,338,4.57,402,5.36,331,4.41,335,4.47,314,4.19
栃木県,837,18.2,27,0.82,84,1.75,82,1.71,98,2.04,100,2.08,106,2.21,94,1.96,128,2.67,118,2.46
群馬県,451,8.84,16,0.46,51,0.96,58,1.09,62,1.17,52,0.98,63,1.19,54,1.02,57,1.08,38,0.72
埼玉県,3331,21.49,72,0.8,324,1.98,331,2.02,398,2.43,483,2.95,485,2.96,377,2.3,477,2.91,384,2.34
千葉県,3358,26.86,69,0.66,334,2.61,343,2.68,470,3.67,526,4.11,505,3.95,349,2.73,419,3.27,343,2.68
東京都,4599,17.96,89,0.44,409,1.56,464,1.76,610,2.32,671,2.55,699,2.65,522,1.98,646,2.45,489,1.85
神奈川県,2742,12.52,22,0.15,268,1.17,266,1.17,374,1.63,380,1.67,391,1.7,355,1.55,390,1.72,296,1.3
新潟県,1871,34.02,78,1.42,161,2.93,185,3.36,244,4.44,268,4.87,229,4.16,223,4.05,272,4.95,211,3.84
富山県,1055,37.68,18,0.64,104,3.59,120,4.14,155,5.34,147,5.07,138,4.76,112,3.86,150,5.17,111,3.83
石川県,617,21.28,20,0.69,51,1.76,73,2.52,77,2.66,91,3.14,85,2.93,85,2.93,77,2.66,58,2
福井県,356,14.24,8,0.32,27,1.08,30,1.2,49,1.96,36,1.44,49,1.96,56,2.24,44,1.76,57,2.28
山梨県,100,4.17,2,0.08,9,0.38,10,0.42,9,0.38,18,0.75,14,0.58,16,0.67,8,0.33,14,0.58
長野県,749,14.4,26,0.65,53,0.98,82,1.52,92,1.7,104,1.93,118,2.23,64,1.19,117,2.17,93,1.72
岐阜県,477,9,15,0.28,52,0.98,58,1.09,57,1.08,75,1.42,72,1.36,44,0.83,64,1.21,40,0.75
静岡県,763,8.57,19,0.21,85,0.96,68,0.76,93,1.04,124,1.39,112,1.26,98,1.1,90,1.01,74,0.83
愛知県,1617,8.93,23,0.13,184,1.01,198,1.09,235,1.3,223,1.23,230,1.26,191,1.05,186,1.02,147,0.81
三重県,771,17.93,21,0.6,67,1.49,83,1.84,124,2.76,95,2.11,102,2.27,83,1.84,112,2.49,84,1.91
滋賀県,397,11.68,11,0.46,39,1.08,45,1.25,51,1.42,55,1.53,61,1.69,44,1.22,53,1.47,38,1.06
京都府,928,12.71,40,0.59,109,1.45,103,1.37,132,1.78,136,1.81,99,1.32,80,1.07,119,1.63,110,1.47
大阪府,1879,10.05,46,0.24,190,0.98,202,1.05,292,1.51,292,1.51,294,1.52,136,0.99,244,1.26,183,0.94
兵庫県,1400,11.2,15,0.14,157,1.23,128,1,188,1.47,182,1.42,225,1.76,192,1.5,170,1.33,143,1.12
奈良県,313,10.1,2,0.2,31,0.91,34,1,39,1.15,48,1.41,36,1.06,39,1.15,41,1.21,43,1.26
和歌山県,240,8.57,11,0.39,22,0.76,26,0.9,24,0.83,32,1.1,36,1.24,32,1.1,40,1.38,17,0.59
鳥取県,560,29.47,11,0.58,54,2.84,52,2.74,83,4.37,92,4.84,62,3.26,60,3.16,87,4.58,59,3.11
島根県,334,14.52,9,0.39,33,1.43,50,2.17,44,1.91,41,1.78,41,1.78,34,1.48,40,1.74,42,1.83
岡山県,495,9.17,31,0.57,49,0.91,52,0.96,70,1.3,88,1.63,65,1.2,47,0.87,54,1,39,0.72
広島県,1264,17.8,17,0.32,95,1.28,106,1.43,186,2.51,209,2.82,197,2.66,158,2.14,170,2.3,126,1.7
山口県,1130,26.28,56,1.3,120,2.79,117,2.72,155,3.6,143,3.33,158,3.67,124,2.88,144,3.35,113,2.63
徳島県,140,6.09,9,0.39,14,0.61,13,0.57,28,1.22,19,0.83,14,0.61,9,0.39,26,1.13,8,0.35
香川県,432,15.43,16,0.57,43,1.54,68,2.43,54,1.93,59,2.11,46,1.64,44,1.57,60,2.14,42,1.5
愛媛県,987,29.03,26,1.13,81,2.25,94,2.61,117,3.25,144,4,153,4.25,131,3.64,135,3.75,106,2.94
高知県,444,17.76,21,0.84,38,1.52,49,1.96,51,2.04,47,1.88,71,2.84,61,2.44,64,2.56,42,1.68
福岡県,3618,30.4,114,0.96,354,2.97,377,3.17,492,4.13,486,4.08,461,3.87,435,3.66,491,4.13,408,3.43
佐賀県,527,23.95,7,0.33,64,2.78,81,3.52,75,3.26,97,4.22,57,2.48,44,1.91,59,2.57,43,1.87
長崎県,1159,26.34,56,1.27,109,2.48,113,2.57,113,2.57,161,3.66,169,3.84,152,3.45,161,3.66,125,2.84
熊本県,1079,22.02,39,0.8,95,1.94,90,1.84,142,2.9,171,3.42,166,3.32,130,2.6,132,2.64,114,2.28
大分県,1168,32.44,52,1.44,107,2.97,133,3.69,133,3.69,161,4.47,127,3.53,128,3.56,195,5.42,132,3.67
宮崎県,818,23.37,19,0.58,81,2.25,115,3.19,124,3.44,102,2.83,91,2.53,90,2.5,110,3.06,86,2.39
鹿児島県,1140,22.8,26,0.51,90,1.76,118,2.31,171,3.35,150,2.94,149,2.92,139,2.78,153,3.06,144,2.88
沖縄県,623,19.47,31,0.97,68,2.13,56,1.75,76,2.38,77,2.41,91,2.84,78,2.44,70,2.19,76,2.38
,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,180625,58.82,2904,1.09,12975,4.14,14167,4.53,18971,6.06,21476,6.86,23169,7.4,23812,7.74,32403,10.36,30748,9.83
北海道,2546,19.29,51,0.49,202,1.49,215,1.58,307,2.26,322,2.37,286,2.1,334,2.46,434,3.19,395,2.9
