報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,
2025年09週(02月24日～03月02日),2025年03月05日作成,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,541256,111.78,142308,33.89,172962,35.06,90770,18.4,54620,11.07,28970,5.87,18616,3.77,12792,2.64,10916,2.22,9302,1.89
北海道,21758,99.81,6490,34.71,5957,26.83,2831,12.75,1794,8.08,1403,6.32,963,4.34,764,3.44,828,3.73,728,3.28
青森県,5657,101.02,1721,36.62,1341,23.12,729,12.57,567,9.78,501,8.64,282,4.86,256,4.41,158,2.72,102,1.76
岩手県,8604,138.77,2200,35.48,2225,35.89,1363,21.98,749,12.08,704,11.35,554,8.94,378,6.1,270,4.35,161,2.6
宮城県,11425,125.55,1519,16.69,3773,41.46,2240,24.62,1569,17.24,859,9.44,547,6.01,434,4.77,316,3.47,168,1.85
秋田県,3107,64.73,261,12.43,975,18.75,660,12.69,469,9.02,288,5.54,187,3.6,114,2.19,78,1.5,75,1.44
山形県,5790,148.46,674,25.92,1370,32.62,1127,26.83,1063,25.31,673,16.02,357,8.5,215,5.24,188,4.59,123,3
福島県,10279,126.9,3841,46.84,2970,36.22,1675,20.43,901,10.99,380,4.69,172,2.12,105,1.3,77,0.95,158,1.95
茨城県,16139,137.94,6018,60.18,4940,41.17,2321,19.34,1315,10.96,558,4.65,330,2.75,286,2.38,194,1.62,177,1.48
栃木県,8839,121.08,1460,28.63,3072,40.42,1428,18.79,947,12.46,519,6.83,383,5.04,390,5.13,344,4.53,296,3.89
群馬県,10226,126.25,1964,35.71,3121,36.72,1859,21.87,1143,13.45,761,8.95,593,6.98,336,3.95,264,3.11,185,2.18
埼玉県,27959,113.19,6190,45.85,9131,34.98,4629,17.74,3126,11.98,1599,6.13,1097,4.2,771,2.95,810,3.1,606,2.32
千葉県,23219,116.1,4872,28.33,8101,39.91,4002,19.62,2424,11.88,1205,5.91,828,4.06,619,3.02,630,3.09,538,2.62
東京都,25343,62.27,4474,13.98,9166,21.93,4297,10.28,2759,6.6,1586,3.79,1129,2.69,685,1.63,658,1.57,589,1.41
神奈川県,24607,70.51,2957,12.37,9636,26.55,4234,11.63,2863,7.8,1748,4.83,1133,3.12,743,2.05,617,1.72,676,1.87
新潟県,12362,143.74,1911,21.97,3041,35.36,1954,22.72,1773,20.62,1285,14.94,928,10.79,599,6.97,522,6.07,349,4.06
富山県,5046,107.36,622,13.82,1661,34.6,1067,22.23,790,16.46,413,8.6,200,4.17,121,2.52,114,2.38,58,1.21
石川県,7042,146.71,1239,25.81,2233,46.52,1527,31.81,919,19.15,445,9.27,285,5.94,181,3.77,119,2.48,94,1.96
福井県,4637,118.9,1042,26.72,1448,37.13,936,24,598,15.33,308,7.9,145,3.72,74,1.9,54,1.38,32,0.82
山梨県,3666,89.41,786,19.17,1568,38.24,572,13.95,387,9.44,221,5.39,73,1.78,18,0.44,23,0.56,18,0.44
長野県,11960,140.71,3115,47.92,3477,39.51,1905,21.65,1412,16.05,735,8.35,521,6.06,287,3.26,291,3.31,217,2.47
岐阜県,12452,143.13,6148,70.67,2911,33.46,1425,16.38,829,9.53,478,5.49,242,2.78,177,2.03,155,1.78,87,1
静岡県,19536,140.55,5047,36.31,6635,47.73,3368,24.23,1840,13.24,954,6.86,676,4.86,413,2.97,315,2.27,288,2.07
愛知県,29064,149.81,10914,55.97,8374,42.94,4318,22.26,2343,12.08,1271,6.55,779,3.99,450,2.31,308,1.58,307,1.57
三重県,7511,108.86,1973,36.54,2815,39.1,1333,18.51,591,8.21,329,4.57,180,2.5,115,1.6,98,1.36,77,1.08
滋賀県,6333,111.11,2191,53.44,1934,32.23,1070,17.83,532,8.87,241,4.02,136,2.27,85,1.42,55,0.92,89,1.48
京都府,12247,100.39,3538,30.24,3950,31.85,2062,16.63,1236,10.05,558,4.5,299,2.41,187,1.51,196,1.61,221,1.78
大阪府,24169,82.77,7735,25.61,7701,25.5,3564,11.84,2014,6.69,1012,3.36,711,2.36,375,1.71,530,1.75,527,1.75
兵庫県,18321,94.44,3771,22.18,6995,35.33,3415,17.25,1783,9.01,903,4.56,500,2.53,390,1.97,275,1.39,289,1.46
奈良県,5179,101.55,496,24.8,1998,36.33,986,17.93,726,13.2,389,7.07,247,4.49,123,2.24,92,1.67,122,2.22
和歌山県,5696,121.19,1179,26.2,2098,43.71,1155,24.06,602,12.54,236,4.92,199,4.15,129,2.69,55,1.15,43,0.9
鳥取県,3349,115.48,1413,48.72,887,30.59,529,18.24,262,9.03,120,4.14,67,2.31,41,1.41,11,0.38,19,0.66
島根県,4206,110.68,1744,45.89,1053,27.71,579,15.24,305,8.03,144,3.79,88,2.32,76,2,139,3.66,78,2.05
岡山県,9090,108.21,2883,34.32,3016,35.9,1569,18.68,791,9.42,297,3.54,188,2.24,160,1.9,105,1.25,81,0.96
広島県,11490,101.68,3596,40.4,3766,32.19,1884,16.1,934,7.98,420,3.59,225,1.92,246,2.1,220,1.88,199,1.7
山口県,7882,117.64,1957,29.21,2907,43.39,1427,21.3,870,12.99,296,4.42,174,2.6,99,1.48,102,1.52,50,0.75
徳島県,5883,159,1566,42.32,2123,57.38,1129,30.51,590,15.95,216,5.84,99,2.68,64,1.73,55,1.49,41,1.11
香川県,6309,134.23,1749,37.21,1913,40.7,1178,25.06,629,13.38,324,6.89,182,3.87,162,3.45,100,2.13,72,1.53
愛媛県,7892,136.07,1509,34.3,3014,50.23,1681,28.02,856,14.27,350,5.83,195,3.25,145,2.42,74,1.23,68,1.13
高知県,7530,171.14,2045,46.48,2480,56.36,1414,32.14,774,17.59,341,7.75,230,5.23,158,3.59,66,1.5,22,0.5
福岡県,23601,119.8,8268,41.97,7052,35.8,3573,18.14,2121,10.77,918,4.66,572,2.9,425,2.16,327,1.66,345,1.75
佐賀県,5908,155.47,1635,45.42,1976,50.67,995,25.51,579,14.85,294,7.54,160,4.1,90,2.31,101,2.59,78,2
長崎県,10536,150.51,3192,45.6,3294,47.06,1769,25.27,1130,16.14,526,7.51,308,4.4,147,2.1,105,1.5,65,0.93
熊本県,11697,148.06,3782,47.87,3920,49.62,1955,24.75,970,12.28,428,5.35,283,3.54,151,1.89,93,1.16,115,1.44
大分県,7725,133.19,3147,54.26,2140,36.9,1153,19.88,645,11.12,240,4.14,108,1.86,99,1.71,107,1.84,86,1.48
宮崎県,8990,157.72,2164,41.62,3320,57.24,1835,31.64,872,15.03,352,6.07,210,3.62,109,1.88,78,1.34,50,0.86
鹿児島県,11135,126.53,3236,36.36,3560,40,2183,24.53,1177,13.22,396,4.45,209,2.35,153,1.74,114,1.3,107,1.22
沖縄県,9860,176.07,2074,37.04,1924,34.36,1865,33.3,1051,18.77,746,13.32,642,11.46,647,11.55,485,8.66,426,7.61
,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,
