報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,
2024年12週(03月18日～03月24日),2024年03月27日作成,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1026543,208.18,62229,12.7,64106,13,87425,17.73,94820,19.22,111574,22.62,118254,23.99,101914,20.65,82850,16.78,68989,13.97,79676,16.14,85196,17.27,69510,14.08
北海道,50303,224.57,2310,10.55,1666,7.4,1205,5.36,1583,7.04,2581,11.47,3772,16.76,4751,21.12,5448,24.21,6159,27.37,7842,35.01,7540,33.66,5446,24.31
青森県,8991,155.02,747,12.66,583,9.88,423,7.17,392,6.64,425,7.2,646,11.14,643,10.9,698,11.83,874,14.81,1209,20.84,1294,22.31,1057,18.22
岩手県,9801,163.35,789,12.93,602,9.87,573,9.39,802,13.15,767,12.57,906,15.1,828,13.8,766,12.77,772,12.66,890,14.59,1016,16.66,1090,17.87
宮城県,20794,228.51,1025,11.26,1056,11.6,1579,17.35,2144,23.56,2211,24.3,2329,25.59,1954,21.47,1749,19.22,1537,16.89,1910,20.99,1833,20.14,1467,16.12
秋田県,6505,130.1,851,17.37,658,12.9,690,13.53,632,12.39,382,7.49,337,6.61,278,5.45,277,5.43,342,6.71,593,11.63,806,15.8,659,12.92
山形県,9833,228.67,462,10.74,494,11.49,646,15.02,656,15.26,567,13.19,768,17.86,747,17.37,852,19.81,881,20.49,1216,28.28,1356,31.53,1188,27.63
福島県,13821,168.55,1350,16.46,1057,12.89,1348,16.44,1026,12.51,637,7.77,668,8.15,811,9.89,890,10.85,932,11.37,1296,15.8,1960,23.9,1846,22.51
茨城県,21545,179.54,2681,22.34,1896,15.8,2186,18.22,1796,14.97,1705,14.21,1637,13.64,1771,14.76,1440,12,1199,9.99,1545,12.88,1912,15.93,1777,14.81
栃木県,12753,167.8,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11,1059,13.93,988,13,909,11.96,858,11.29,1144,15.05,1371,18.04,1335,17.57
群馬県,17378,206.88,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15,1401,16.48,1534,18.05,1600,19.05,1486,17.69,1883,22.42,2170,25.83,1896,22.57
埼玉県,67980,261.46,3551,13.93,4145,15.88,5874,22.51,6336,24.28,6357,24.36,7732,29.74,7541,29,6331,24.35,4598,17.62,5150,19.73,5796,22.21,4569,17.51
千葉県,51979,257.32,2919,14.45,3623,17.85,4958,24.54,5296,26.35,5456,26.75,5513,27.43,4819,23.86,3976,19.68,3210,15.89,3833,18.98,4667,23.1,3709,18.36
東京都,76925,185.81,3164,7.81,4192,10.13,6725,16.24,7672,18.53,8398,20.29,9475,22.83,8909,21.47,6964,16.74,5214,12.53,5588,13.43,5847,14.09,4777,11.48
神奈川県,80411,220.91,2776,7.71,4328,11.96,6809,18.71,7902,21.59,9111,25.1,10035,27.57,8606,23.51,7246,19.69,6008,16.42,6280,17.16,6787,18.59,4523,12.36
新潟県,19131,222.45,948,11.02,823,9.57,1177,13.69,1520,17.67,1350,15.7,1248,14.51,839,9.76,1155,13.43,1571,18.27,2734,31.79,3268,38,2498,29.05
富山県,10875,226.56,498,10.38,578,12.04,797,16.6,795,16.56,768,16,881,18.35,768,16,796,16.58,768,16,1258,26.21,1574,32.79,1394,29.04
石川県,12140,263.91,566,12.86,450,10.23,605,13.44,645,14.02,693,15.07,966,21,1221,25.44,1197,24.94,1193,24.85,1781,37.1,1761,36.69,1062,22.13
福井県,8372,214.67,435,11.15,513,13.15,647,16.59,658,16.87,660,16.92,887,22.74,909,23.31,818,20.97,626,16.05,719,18.44,840,21.54,660,16.92
山梨県,5679,138.51,346,8.44,477,11.63,781,19.05,601,14.66,434,10.59,461,11.24,398,9.71,399,9.73,315,7.68,383,9.34,518,12.63,566,13.8
長野県,14112,160.36,1183,13.44,899,10.22,1147,13.03,1063,12.08,1067,12.13,1094,12.43,959,10.9,1001,11.38,915,10.4,1380,15.68,1681,19.1,1723,19.58
岐阜県,12898,148.25,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3,1045,12.01,875,10.06,780,8.97,836,9.61,1083,12.45,907,10.43
静岡県,21916,157.67,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84,1802,12.96,1307,9.4,1177,8.47,1663,11.96,2280,16.4,2160,15.54
愛知県,45867,235.22,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5768,29.58,4735,24.28,3549,18.2,2533,12.99,2819,14.46,2788,14.3,2336,11.98
三重県,14109,195.96,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47,1488,20.67,1280,17.78,944,13.11,990,13.75,955,13.26,779,10.82
滋賀県,10535,178.56,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47,1066,17.77,838,13.97,639,10.65,718,11.97,742,12.37,672,11.2
京都府,25199,203.22,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44,2842,22.74,1992,15.94,1365,10.92,1231,9.85,1085,8.68,796,6.37
大阪府,58239,190.32,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9146,29.79,6582,21.44,4160,13.55,2761,8.99,2445,7.96,2018,6.57,1539,5.01
兵庫県,35514,179.36,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67,3981,20.11,2698,13.63,1896,9.58,1550,7.83,1356,6.85,1103,5.57
奈良県,11110,205.74,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58,1231,22.8,800,14.81,545,10.09,507,9.39,357,6.61,315,5.73
和歌山県,8131,165.94,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84,881,17.98,585,11.94,518,10.57,493,10.06,529,10.8,555,11.33
鳥取県,3690,127.24,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83,275,9.48,231,7.97,218,7.52,301,10.38,366,12.62,404,13.93
島根県,4586,120.68,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8,246,6.47,213,5.61,267,7.03,498,13.11,757,19.92,631,16.61
岡山県,13632,162.29,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63,1462,17.4,1295,15.42,1106,13.17,973,11.58,1026,12.21,674,8.02
広島県,19357,172.83,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28,2113,18.87,1769,15.65,1442,12.76,1743,15.42,1863,16.49,1439,12.73
山口県,13488,201.31,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24,1283,19.15,1148,17.13,1037,15.48,1143,17.06,1140,17.01,916,13.67
徳島県,6203,167.65,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41,510,13.78,433,11.7,412,11.14,510,13.78,565,15.27,479,12.95
香川県,6775,144.15,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6,537,11.43,375,7.98,468,9.96,602,12.81,756,16.09,746,15.87
愛媛県,11853,197.55,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77,858,14.07,750,12.3,678,11.11,868,14.23,1298,21.28,1558,25.54
高知県,8268,187.91,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55,670,15.23,532,12.09,552,12.55,691,15.7,845,19.2,908,20.64
福岡県,63689,321.66,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11429,57.72,7393,37.34,4794,24.21,3167,15.99,3022,15.26,2260,11.41,1499,7.57
佐賀県,9892,253.64,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15,1040,26.67,770,19.74,538,13.79,745,19.1,587,15.05,422,10.82
長崎県,17096,247.77,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01,1592,22.74,1454,21.07,1299,18.83,1478,21.42,1420,20.58,1169,16.94
熊本県,20346,257.54,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83,2393,29.91,1711,21.39,1346,16.83,1350,16.88,1260,15.75,818,10.35
大分県,15464,266.62,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34,1767,30.47,1189,20.5,1022,17.62,1068,18.41,1068,18.41,875,15.09
宮崎県,16290,280.86,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81,1535,26.47,1179,20.33,844,14.55,845,14.57,788,13.59,684,11.79
鹿児島県,17854,200.61,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73,1783,20.03,1259,14.15,1047,11.76,1133,12.73,1283,14.42,1322,14.85
沖縄県,15214,281.74,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7,1530,28.33,1152,21.33,930,17.22,820,15.19,724,13.41,562,10.41
,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8243,2.63,131,0.04,198,0.06,235,0.08,358,0.11,380,0.12,438,0.14,466,0.15,661,0.21,900,0.29,1171,0.37,1493,0.48,1812,0.58
北海道,1163,8.43,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58,89,0.64,105,0.76,105,0.76,130,0.94,153,1.11,153,1.11
青森県,14,0.38,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0,0,0,0,0,5,0.14,1,0.03,2,0.05,0,0
岩手県,38,1,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0,2,0.05,0,0,1,0.03,4,0.1,3,0.08,3,0.08
宮城県,123,2.24,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11,9,0.16,13,0.24,5,0.09,21,0.38,19,0.35,29,0.53
秋田県,25,0.78,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,2,0.06,4,0.12,6,0.18,4,0.12,5,0.15,1,0.03
山形県,28,1,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07,2,0.07,0,0,0,0,5,0.18,5,0.18,8,0.29
福島県,270,5.51,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43,23,0.47,15,0.31,30,0.61,29,0.59,37,0.76,49,1
茨城県,127,1.69,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09,4,0.05,6,0.08,16,0.21,25,0.33,25,0.33,25,0.33
栃木県,190,3.96,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29,13,0.27,13,0.27,32,0.67,33,0.69,21,0.44,32,0.67
群馬県,188,3.55,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06,7,0.13,32,0.6,25,0.47,37,0.7,31,0.58,42,0.79
埼玉県,405,2.48,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.13,26,0.16,46,0.28,50,0.3,40,0.24,74,0.45,104,0.63
千葉県,221,1.77,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24,19,0.15,11,0.09,20,0.16,19,0.15,20,0.16,36,0.29
東京都,501,1.92,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08,27,0.1,31,0.12,56,0.21,65,0.25,120,0.46,141,0.54
神奈川県,330,1.44,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02,10,0.04,22,0.09,37,0.16,46,0.2,82,0.36,97,0.42
新潟県,69,1.25,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05,3,0.05,4,0.07,14,0.25,8,0.15,14,0.25,13,0.24
富山県,46,1.59,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1,1,0.03,5,0.17,9,0.31,6,0.21,3,0.1
石川県,41,1.46,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11,1,0.03,1,0.03,3,0.1,7,0.24,11,0.38,9,0.31
福井県,123,4.92,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04,6,0.24,8,0.32,7,0.28,15,0.6,24,0.96,36,1.44
山梨県,20,0.83,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0,0,0,3,0.13,3,0.13,5,0.21,2,0.08,3,0.13
長野県,94,1.74,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13,6,0.11,9,0.17,16,0.3,10,0.19,11,0.2,11,0.2
岐阜県,112,2.11,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28,9,0.17,10,0.19,16,0.3,13,0.25,14,0.26,19,0.36
静岡県,90,1.01,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02,4,0.04,5,0.06,11,0.12,15,0.17,19,0.21,22,0.25
愛知県,196,1.08,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05,10,0.05,10,0.05,18,0.1,30,0.16,49,0.27,58,0.32
三重県,62,1.38,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09,2,0.04,5,0.11,9,0.2,9,0.2,10,0.22,19,0.42
滋賀県,59,1.69,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06,1,0.03,13,0.36,4,0.11,6,0.17,13,0.36,14,0.39
京都府,198,2.64,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24,7,0.09,20,0.26,20,0.26,28,0.37,47,0.62,42,0.55
大阪府,1769,8.98,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34,75,0.38,133,0.67,204,1.03,307,1.55,367,1.85,441,2.23
兵庫県,340,2.66,2,0.02,3,0.02,10,0.08,10,0.08,19,0.15,11,0.09,19,0.15,25,0.2,35,0.27,46,0.36,58,0.45,102,0.8
奈良県,171,5.18,0,0,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,2,0.06,0,0,12,0.36,39,1.18,38,1.15,64,1.88
和歌山県,98,3.27,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4,12,0.4,11,0.37,4,0.13,13,0.43,10,0.33,6,0.2
鳥取県,19,1,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11,3,0.16,4,0.21,2,0.11,0,0,1,0.05,2,0.11
島根県,30,1.3,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17,3,0.13,3,0.13,5,0.22,7,0.3,3,0.13,1,0.04
岡山県,46,0.85,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02,2,0.04,2,0.04,7,0.13,7,0.13,12,0.22,7,0.13
広島県,164,2.38,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15,10,0.14,7,0.1,29,0.41,25,0.36,29,0.41,28,0.4
山口県,128,2.98,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07,4,0.09,21,0.49,14,0.33,14,0.33,24,0.56,45,1.05
徳島県,17,0.74,0,0,1,0.04,0,0,0,0,0,0,1,0.04,2,0.09,4,0.17,1,0.04,2,0.09,0,0,6,0.26
香川県,55,1.96,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04,2,0.07,9,0.32,6,0.21,3,0.11,16,0.57,11,0.39
愛媛県,44,1.22,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03,3,0.08,1,0.03,2,0.05,4,0.11,5,0.14,21,0.57
高知県,4,0.15,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04
福岡県,219,1.83,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1,19,0.16,18,0.15,14,0.12,38,0.32,48,0.4,42,0.35
佐賀県,37,1.61,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09,3,0.13,0,0,6,0.26,4,0.17,5,0.22,9,0.39
長崎県,31,0.72,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02,0,0,5,0.12,6,0.14,2,0.05,9,0.21,2,0.05
熊本県,82,1.64,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1,5,0.1,7,0.14,7,0.14,15,0.3,15,0.3,25,0.5
大分県,26,0.72,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08,2,0.06,3,0.08,3,0.08,7,0.19,3,0.08,1,0.03
宮崎県,37,1.03,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03,2,0.06,5,0.14,6,0.17,5,0.14,6,0.17
鹿児島県,131,2.57,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2,12,0.24,21,0.41,14,0.27,20,0.39,19,0.37
沖縄県,62,2,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1,7,0.23,3,0.1,3,0.1,8,0.26,4,0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,39915,12.75,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3347,1.07,2857,0.91,2643,0.84,2994,0.95,2748,0.88,2593,0.83,2199,0.7
北海道,4346,31.49,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34,308,2.22,327,2.35,268,1.94,242,1.75,261,1.89
青森県,483,13.05,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95,58,1.57,42,1.14,30,0.81,23,0.62,56,1.51,43,1.16,23,0.62
岩手県,777,20.45,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51,56,1.47,64,1.68,66,1.74,70,1.79,54,1.38,74,1.9,93,2.38
宮城県,1014,18.44,100,1.82,136,2.47,110,2,93,1.69,100,1.82,74,1.35,64,1.16,75,1.36,88,1.6,67,1.22,54,0.98,53,0.96
秋田県,203,6.34,16,0.52,20,0.61,16,0.48,13,0.39,22,0.67,26,0.79,11,0.33,13,0.39,22,0.67,15,0.45,15,0.45,14,0.42
山形県,850,30.36,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32,71,2.54,73,2.61,54,1.93,80,2.86,75,2.68,67,2.39,41,1.46
福島県,947,19.33,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18,102,2.08,82,1.67,53,1.08,72,1.47,55,1.12,61,1.24,47,0.96
茨城県,622,8.29,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59,56,0.75,38,0.51,37,0.49,54,0.72,42,0.56,46,0.61,27,0.36
栃木県,382,7.96,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58,27,0.56,25,0.52,28,0.58,26,0.54,24,0.5,20,0.42,23,0.48
群馬県,566,10.68,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7,26,0.49,44,0.83,45,0.85,58,1.09,38,0.72,43,0.81,50,0.94
埼玉県,1849,11.34,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02,146,0.9,121,0.74,106,0.65,94,0.57,72,0.44,98,0.6,78,0.48
千葉県,1216,9.73,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87,78,0.62,61,0.49,77,0.62,69,0.55,64,0.51,70,0.56,66,0.53
東京都,1420,5.44,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49,93,0.35,93,0.36,77,0.29,86,0.33,61,0.23,64,0.24,44,0.17
神奈川県,1502,6.56,222,1,228,1,187,0.82,149,0.65,134,0.59,87,0.38,87,0.38,74,0.32,90,0.39,92,0.4,75,0.33,77,0.33
新潟県,1728,31.42,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18,203,3.69,154,2.8,125,2.27,172,3.13,194,3.53,155,2.82,120,2.18
富山県,906,31.24,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45,87,3,69,2.38,50,1.72,76,2.62,85,2.93,77,2.66,63,2.17
石川県,595,21.25,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07,55,1.96,49,1.69,34,1.17,24,0.83,28,0.97,40,1.38,25,0.86
福井県,666,26.64,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04,45,1.8,47,1.88,38,1.52,43,1.72,38,1.52,29,1.16,15,0.6
山梨県,215,8.96,24,1,25,1.04,16,0.67,28,1.17,10,0.42,16,0.67,28,1.17,24,1,21,0.88,8,0.33,8,0.33,7,0.29
長野県,408,7.56,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52,32,0.59,28,0.52,29,0.54,44,0.81,37,0.69,36,0.67,29,0.54
岐阜県,380,7.17,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77,29,0.55,19,0.36,15,0.28,24,0.45,23,0.43,16,0.3,11,0.21
静岡県,999,11.22,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96,76,0.85,76,0.85,52,0.58,76,0.85,85,0.96,93,1.04,74,0.83
愛知県,1223,6.72,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62,89,0.49,84,0.46,76,0.42,89,0.49,74,0.41,69,0.38,51,0.28
三重県,685,15.22,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18,59,1.31,55,1.22,60,1.33,54,1.2,43,0.96,45,1,34,0.76
滋賀県,313,8.94,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81,32,0.89,27,0.75,11,0.31,21,0.58,23,0.64,24,0.67,13,0.36
京都府,735,9.8,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95,83,1.11,49,0.64,54,0.71,37,0.49,51,0.67,68,0.89,43,0.57
