報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
岐阜県,14388,165.38,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3,1045,12.01,875,10.06,780,8.97,836,9.61,1083,12.45,907,10.43,783,9,377,4.33,157,1.8,100,1.15,55,0.63,18,0.21
静岡県,25383,182.61,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84,1802,12.96,1307,9.4,1177,8.47,1663,11.96,2280,16.4,2160,15.54,1689,12.15,833,5.99,409,2.94,334,2.4,149,1.07,53,0.38
愛知県,49223,252.43,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5768,29.58,4735,24.28,3549,18.2,2533,12.99,2819,14.46,2788,14.3,2336,11.98,1711,8.77,758,3.89,397,2.04,256,1.31,159,0.82,75,0.38
三重県,15317,212.74,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47,1488,20.67,1280,17.78,944,13.11,990,13.75,955,13.26,779,10.82,653,9.07,292,4.06,133,1.85,84,1.17,31,0.43,15,0.21
滋賀県,11503,194.97,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47,1066,17.77,838,13.97,639,10.65,718,11.97,742,12.37,672,11.2,559,9.32,210,3.5,96,1.6,58,0.97,24,0.4,21,0.37
京都府,26894,216.89,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44,2842,22.74,1992,15.94,1365,10.92,1231,9.85,1085,8.68,796,6.37,639,5.15,387,3.07,233,1.85,226,1.79,141,1.13,69,0.55
大阪府,61088,200.29,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9146,29.79,6582,21.44,4160,13.55,2761,8.99,2445,7.96,2018,6.57,1541,5.02,1254,4.08,578,1.9,391,1.29,314,1.03,224,0.74,86,0.28
兵庫県,37557,189.68,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67,3981,20.11,2698,13.63,1896,9.58,1550,7.83,1356,6.85,1103,5.57,951,4.8,490,2.46,264,1.33,172,0.86,116,0.58,50,0.25
奈良県,11678,216.26,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58,1231,22.8,800,14.81,545,10.09,507,9.39,357,6.61,315,5.73,219,3.98,114,2.07,94,1.71,74,1.35,50,0.93,17,0.31
和歌山県,9153,186.8,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84,881,17.98,585,11.94,518,10.57,493,10.06,529,10.8,555,11.33,567,11.57,230,4.69,127,2.59,55,1.12,37,0.76,6,0.12
鳥取県,4721,162.79,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83,275,9.48,231,7.97,218,7.52,301,10.38,366,12.62,404,13.93,478,16.48,269,9.28,160,5.52,85,2.93,29,1,10,0.34
島根県,5627,148.08,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8,246,6.47,213,5.61,267,7.03,498,13.11,757,19.92,631,16.61,442,11.63,283,7.45,131,3.45,112,2.87,52,1.37,21,0.55
岡山県,14571,173.46,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63,1462,17.4,1295,15.42,1106,13.17,973,11.58,1026,12.21,674,8.02,510,6.07,231,2.75,97,1.15,46,0.55,34,0.4,21,0.25
広島県,21547,194.12,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28,2113,18.87,1769,15.65,1442,12.76,1743,15.42,1863,16.49,1439,12.73,1264,11.19,499,4.5,210,1.91,110,1,76,0.69,31,0.28
山口県,15206,226.96,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24,1283,19.15,1148,17.13,1037,15.48,1143,17.06,1140,17.01,916,13.67,838,12.51,415,6.19,180,2.69,141,2.1,84,1.25,60,0.9
徳島県,6945,187.7,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41,510,13.78,433,11.7,412,11.14,510,13.78,565,15.27,479,12.95,396,10.7,180,4.86,80,2.16,46,1.24,32,0.86,8,0.22
香川県,7980,169.79,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6,537,11.43,375,7.98,468,9.96,602,12.81,756,16.09,746,15.87,611,13,309,6.57,118,2.51,86,1.83,66,1.4,15,0.32
愛媛県,14514,241.9,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77,858,14.07,750,12.3,678,11.11,868,14.23,1298,21.28,1558,25.54,1574,25.8,590,9.67,230,3.77,150,2.46,79,1.3,38,0.62
高知県,9405,213.75,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55,670,15.23,532,12.09,552,12.55,691,15.7,845,19.2,908,20.64,697,15.84,260,5.91,98,2.23,36,0.82,31,0.7,15,0.34
福岡県,65566,331.14,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11429,57.72,7393,37.34,4794,24.21,3167,15.99,3022,15.26,2260,11.41,1500,7.58,974,4.92,418,2.1,237,1.2,146,0.74,61,0.31,40,0.2
佐賀県,10458,268.15,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15,1040,26.67,770,19.74,538,13.79,745,19.1,587,15.05,422,10.82,327,8.38,120,3.08,74,1.9,33,0.85,8,0.21,4,0.1
長崎県,18586,269.36,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01,1592,22.74,1454,21.07,1299,18.83,1478,21.42,1420,20.58,1169,16.94,796,11.54,336,4.87,161,2.3,98,1.4,62,0.9,37,0.53
熊本県,21723,274.97,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83,2393,29.91,1711,21.39,1346,16.83,1350,16.88,1260,15.75,818,10.35,726,9.08,322,4.08,131,1.66,99,1.25,68,0.86,31,0.39
大分県,16795,289.57,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34,1767,30.47,1189,20.5,1022,17.62,1068,18.41,1068,18.41,875,15.09,690,11.9,307,5.29,167,2.88,77,1.33,44,0.76,46,0.79
宮崎県,17290,298.1,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81,1535,26.47,1179,20.33,844,14.55,845,14.57,788,13.59,684,11.79,548,9.45,206,3.55,99,1.71,70,1.21,59,1.02,18,0.31
