報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
鹿児島県,533,10.66,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2,12,0.24,21,0.41,14,0.27,20,0.39,19,0.37,17,0.33,30,0.6,75,1.47,76,1.49,114,2.24,90,1.76
沖縄県,205,6.83,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1,7,0.23,3,0.1,3,0.1,8,0.26,4,0.13,2,0.06,6,0.2,25,0.83,29,0.97,39,1.3,42,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,51286,16.39,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3347,1.07,2857,0.91,2643,0.84,2994,0.95,2748,0.88,2593,0.83,2199,0.7,1971,0.63,1770,0.57,1764,0.56,2109,0.67,2193,0.7,1564,0.51
北海道,5336,38.95,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34,308,2.22,327,2.35,268,1.94,242,1.75,261,1.89,190,1.39,125,0.91,153,1.12,186,1.36,182,1.33,154,1.18
青森県,622,17.28,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95,58,1.57,42,1.14,30,0.81,23,0.62,56,1.51,43,1.16,23,0.62,24,0.65,13,0.35,24,0.65,22,0.59,38,1.03,18,0.51
岩手県,1313,33.67,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51,56,1.47,64,1.68,66,1.74,70,1.79,54,1.38,74,1.9,93,2.38,68,1.74,82,2.05,84,2.1,112,2.8,105,2.63,85,2.13
宮城県,1256,23.26,100,1.82,136,2.47,110,2,93,1.69,100,1.82,74,1.35,64,1.16,75,1.36,88,1.6,67,1.22,54,0.98,53,0.96,49,0.89,39,0.74,34,0.64,47,0.89,44,0.81,29,0.54
秋田県,285,8.64,16,0.52,20,0.61,16,0.48,13,0.39,22,0.67,26,0.79,11,0.33,13,0.39,22,0.67,15,0.45,15,0.45,14,0.42,23,0.7,13,0.38,10,0.29,8,0.24,11,0.32,17,0.5
山形県,1069,38.18,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32,71,2.54,73,2.61,54,1.93,80,2.86,75,2.68,67,2.39,41,1.46,37,1.32,44,1.57,34,1.21,42,1.5,31,1.11,31,1.11
福島県,1161,23.69,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18,102,2.08,82,1.67,53,1.08,72,1.47,55,1.12,61,1.24,47,0.96,30,0.61,34,0.69,37,0.76,34,0.69,38,0.78,41,0.84
茨城県,807,10.76,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59,56,0.75,38,0.51,37,0.49,54,0.72,42,0.56,46,0.61,27,0.36,27,0.36,22,0.29,32,0.43,33,0.44,39,0.52,32,0.43
栃木県,490,10.21,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58,27,0.56,25,0.52,28,0.58,26,0.54,24,0.5,20,0.42,23,0.48,18,0.38,28,0.58,25,0.52,16,0.33,12,0.25,9,0.19
群馬県,802,15.42,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7,26,0.49,44,0.83,45,0.85,58,1.09,38,0.72,43,0.81,50,0.94,39,0.74,26,0.49,25,0.47,57,1.08,47,0.89,42,0.84
埼玉県,2259,13.94,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02,146,0.9,121,0.74,106,0.65,94,0.57,72,0.44,98,0.6,78,0.48,57,0.35,65,0.4,59,0.36,81,0.5,84,0.52,64,0.41
千葉県,1534,12.27,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87,78,0.62,61,0.49,77,0.62,69,0.55,64,0.51,70,0.56,66,0.53,63,0.5,60,0.48,47,0.37,56,0.44,59,0.47,33,0.27
東京都,1819,6.97,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49,93,0.35,93,0.36,77,0.29,86,0.33,61,0.23,64,0.24,44,0.17,51,0.19,53,0.2,69,0.26,68,0.26,94,0.36,64,0.25
神奈川県,1905,8.32,222,1,228,1,187,0.82,149,0.65,134,0.59,87,0.38,87,0.38,74,0.32,90,0.39,92,0.4,75,0.33,77,0.33,82,0.36,73,0.32,59,0.26,66,0.28,66,0.29,57,0.26
新潟県,2267,41.22,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18,203,3.69,154,2.8,125,2.27,172,3.13,194,3.53,155,2.82,120,2.18,90,1.64,102,1.85,78,1.42,111,2.02,101,1.84,57,1.04
富山県,1218,43.5,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45,87,3,69,2.38,50,1.72,76,2.62,85,2.93,77,2.66,63,2.17,64,2.21,38,1.36,63,2.25,61,2.18,71,2.54,15,0.54
石川県,703,25.11,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07,55,1.96,49,1.69,34,1.17,24,0.83,28,0.97,40,1.38,25,0.86,25,0.86,11,0.38,17,0.59,24,0.83,16,0.55,15,0.52
福井県,774,30.96,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04,45,1.8,47,1.88,38,1.52,43,1.72,38,1.52,29,1.16,15,0.6,18,0.72,19,0.76,19,0.76,19,0.76,24,0.96,9,0.36
山梨県,283,11.79,24,1,25,1.04,16,0.67,28,1.17,10,0.42,16,0.67,28,1.17,24,1,21,0.88,8,0.33,8,0.33,7,0.29,10,0.42,6,0.25,11,0.46,6,0.25,19,0.79,16,0.67
長野県,564,10.44,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52,32,0.59,28,0.52,29,0.54,44,0.81,37,0.69,36,0.67,29,0.54,25,0.46,28,0.52,25,0.46,25,0.46,30,0.56,23,0.43
岐阜県,466,8.79,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77,29,0.55,19,0.36,15,0.28,24,0.45,23,0.43,16,0.3,11,0.21,18,0.34,13,0.25,11,0.21,21,0.4,15,0.28,8,0.15
静岡県,1337,15.02,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96,76,0.85,76,0.85,52,0.58,76,0.85,85,0.96,93,1.04,74,0.83,53,0.6,53,0.6,47,0.53,73,0.82,70,0.79,42,0.47
愛知県,1534,8.43,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62,89,0.49,84,0.46,76,0.42,89,0.49,74,0.41,69,0.38,51,0.28,53,0.29,46,0.25,52,0.29,56,0.31,77,0.42,27,0.15
三重県,892,19.82,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18,59,1.31,55,1.22,60,1.33,54,1.2,43,0.96,45,1,34,0.76,40,0.89,27,0.6,28,0.62,45,1,42,0.93,25,0.56
滋賀県,434,12.4,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81,32,0.89,27,0.75,11,0.31,21,0.58,23,0.64,24,0.67,13,0.36,20,0.56,19,0.53,26,0.72,27,0.75,16,0.44,13,0.38
京都府,973,12.97,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95,83,1.11,49,0.64,54,0.71,37,0.49,51,0.67,68,0.89,43,0.57,32,0.42,27,0.35,48,0.62,37,0.48,60,0.78,34,0.45
大阪府,1607,8.16,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39,102,0.52,84,0.42,72,0.36,84,0.42,82,0.41,72,0.36,71,0.36,53,0.27,66,0.34,76,0.39,78,0.4,91,0.46,78,0.4
兵庫県,1686,13.17,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88,117,0.91,91,0.71,72,0.56,122,0.95,107,0.84,84,0.66,73,0.57,64,0.5,73,0.57,55,0.43,56,0.43,85,0.66,29,0.22
奈良県,484,14.67,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12,35,1.03,22,0.67,19,0.58,28,0.85,20,0.61,15,0.45,17,0.5,18,0.53,23,0.68,15,0.44,30,0.88,19,0.56,20,0.61
和歌山県,307,10.23,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67,21,0.7,28,0.93,11,0.37,15,0.5,12,0.4,4,0.13,3,0.1,4,0.13,1,0.03,6,0.2,5,0.17,6,0.2,5,0.17
鳥取県,341,17.95,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68,27,1.42,24,1.26,19,1,23,1.21,19,1,29,1.53,20,1.05,22,1.16,13,0.68,22,1.16,18,0.95,24,1.26,25,1.32
島根県,346,15.04,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13,20,0.87,8,0.35,13,0.57,15,0.65,33,1.43,19,0.83,19,0.83,11,0.48,12,0.52,19,0.83,19,0.83,15,0.65,9,0.39
岡山県,783,14.5,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67,55,1.02,49,0.91,44,0.81,44,0.81,47,0.87,37,0.69,37,0.69,28,0.52,36,0.67,34,0.63,36,0.67,40,0.74,32,0.59
広島県,1585,22.97,143,2.04,140,2,136,1.94,144,2.06,128,1.86,102,1.5,80,1.16,101,1.44,105,1.5,78,1.11,84,1.2,37,0.53,63,0.9,40,0.59,45,0.67,64,0.96,45,0.67,50,0.74
山口県,709,16.49,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21,30,0.7,33,0.77,40,0.93,54,1.26,60,1.4,53,1.23,41,0.95,40,0.93,22,0.51,17,0.4,18,0.42,23,0.53,25,0.58
徳島県,233,10.13,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65,18,0.78,9,0.39,13,0.57,13,0.57,8,0.35,10,0.43,6,0.26,14,0.61,8,0.35,6,0.26,5,0.22,4,0.17,1,0.04
香川県,363,12.96,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21,25,0.89,20,0.71,21,0.75,19,0.68,22,0.79,22,0.79,14,0.5,10,0.36,17,0.61,8,0.29,6,0.21,9,0.32,9,0.32
愛媛県,512,14.22,72,2,50,1.35,56,1.51,45,1.22,29,0.78,26,0.7,28,0.76,37,1,21,0.57,17,0.46,19,0.51,34,0.92,9,0.24,18,0.49,10,0.27,22,0.59,13,0.35,6,0.16
高知県,271,10.84,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35,14,0.54,11,0.42,13,0.5,30,1.15,13,0.5,11,0.42,8,0.31,4,0.16,2,0.08,1,0.04,10,0.4,15,0.6,7,0.28
福岡県,1805,15.04,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06,101,0.84,75,0.63,63,0.53,79,0.66,95,0.79,60,0.5,62,0.52,72,0.6,43,0.36,55,0.46,72,0.6,95,0.79,76,0.63
佐賀県,499,21.7,43,1.87,46,2,42,1.83,46,2,49,2.13,43,1.87,28,1.22,40,1.74,23,1,18,0.78,27,1.17,13,0.57,15,0.65,9,0.39,12,0.52,17,0.74,12,0.52,16,0.7
長崎県,1116,25.95,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82,87,1.98,44,1,42,0.98,52,1.21,40,0.93,56,1.3,40,0.93,39,0.91,56,1.3,50,1.14,63,1.43,48,1.12,37,0.84
熊本県,955,19.1,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86,65,1.3,52,1.04,57,1.14,52,1.04,55,1.1,48,0.96,33,0.66,36,0.72,34,0.68,20,0.4,22,0.44,25,0.5,21,0.42
大分県,870,24.17,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75,56,1.56,56,1.56,50,1.39,50,1.39,54,1.5,54,1.5,31,0.86,25,0.69,32,0.89,25,0.69,37,1.03,44,1.22,30,0.83
宮崎県,1188,33,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08,95,2.64,73,2.03,68,1.89,68,1.89,67,1.86,72,2,76,2.11,63,1.75,53,1.47,41,1.14,54,1.5,45,1.25,21,0.58
鹿児島県,2962,59.24,194,3.8,176,3.45,166,3.25,174,3.41,202,3.96,216,4.24,203,3.98,209,4.1,229,4.49,190,3.73,176,3.45,140,2.75,132,2.59,126,2.52,103,2.02,114,2.24,115,2.25,97,1.9
沖縄県,561,18.7,48,1.55,45,1.45,53,1.71,36,1.16,28,0.9,22,0.71,24,0.77,28,0.9,28,0.9,39,1.26,9,0.29,42,1.35,43,1.39,20,0.67,27,0.9,30,1,29,0.97,10,0.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,211838,67.7,5404,1.74,8867,2.83,13388,4.28,13621,4.35,14491,4.63,14500,4.63,11539,3.68,11591,3.7,12225,3.9,13810,4.41,14057,4.48,11525,3.67,11176,3.57,9572,3.06,10404,3.32,12807,4.09,14533,4.65,8328,2.69
北海道,18470,134.82,447,3.34,584,4.2,872,6.27,1101,7.92,1233,8.87,1248,8.98,1048,7.54,1115,8.02,1208,8.69,1404,10.17,1493,10.82,1200,8.7,1003,7.32,878,6.41,813,5.93,1043,7.61,1119,8.17,661,5.05
青森県,1959,54.42,50,1.35,54,1.46,102,2.76,104,2.81,171,4.62,172,4.65,110,2.97,104,2.81,101,2.73,153,4.14,129,3.49,119,3.22,115,3.11,101,2.73,78,2.11,114,3.08,113,3.05,69,1.97
岩手県,1823,46.74,41,1.05,67,1.72,91,2.33,122,3.13,129,3.31,117,3.08,71,1.87,79,2.08,98,2.51,111,2.85,133,3.41,109,2.79,102,2.62,101,2.53,94,2.35,122,3.05,150,3.75,86,2.15
宮城県,3520,65.19,81,1.47,137,2.49,262,4.76,261,4.75,239,4.35,203,3.69,197,3.58,177,3.22,185,3.36,213,3.87,206,3.75,170,3.09,202,3.67,166,3.13,172,3.25,233,4.4,275,5.09,141,2.61
秋田県,1430,43.33,24,0.77,26,0.79,51,1.55,56,1.7,56,1.7,72,2.18,51,1.55,66,2,98,2.97,104,3.15,105,3.18,85,2.58,103,3.12,84,2.47,112,3.29,129,3.79,129,3.79,79,2.32
山形県,4265,152.32,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79,267,9.54,213,7.61,244,8.71,323,11.54,285,10.18,266,9.5,175,6.25,208,7.43,203,7.25,261,9.32,270,9.64,323,11.54,196,7
福島県,3636,74.2,108,2.2,143,2.92,253,5.16,213,4.35,245,5,227,4.63,185,3.78,201,4.1,203,4.14,228,4.65,278,5.67,217,4.43,195,3.98,179,3.65,184,3.76,191,3.9,216,4.41,170,3.47
茨城県,6823,90.97,225,3,235,3.13,392,5.23,371,4.95,527,7.03,476,6.35,404,5.39,338,4.51,363,4.84,388,5.17,450,6,365,4.87,422,5.63,294,3.92,301,4.01,471,6.28,496,6.61,305,4.07
栃木県,2708,56.42,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4,146,3.04,137,2.85,138,2.88,162,3.38,153,3.19,154,3.21,153,3.19,160,3.33,126,2.63,170,3.54,198,4.13,243,5.06,110,2.29
群馬県,3607,69.37,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49,224,4.23,203,3.83,174,3.28,175,3.3,214,4.04,235,4.43,190,3.58,183,3.45,167,3.15,184,3.47,205,3.87,227,4.28,138,2.76
埼玉県,12582,77.67,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35,850,5.21,679,4.17,701,4.3,691,4.21,771,4.7,830,5.06,684,4.17,642,3.94,497,3.07,561,3.46,760,4.69,847,5.26,546,3.46
千葉県,11002,88.02,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57,687,5.5,554,4.43,623,4.98,582,4.66,717,5.74,774,6.19,599,4.79,608,4.83,515,4.09,609,4.83,726,5.76,815,6.52,342,2.8
東京都,15260,58.47,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18,1074,4.1,870,3.33,846,3.23,841,3.21,879,3.35,914,3.49,741,2.83,739,2.82,665,2.53,751,2.86,932,3.54,1072,4.09,595,2.31
神奈川県,11344,49.54,291,1.3,507,2.21,797,3.51,685,2.98,711,3.13,662,2.87,590,2.54,578,2.49,604,2.63,749,3.26,786,3.42,619,2.67,661,2.87,563,2.44,595,2.58,728,3.12,812,3.58,406,1.82
新潟県,5659,102.89,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2,418,7.6,289,5.25,322,5.85,349,6.35,407,7.4,386,7.02,365,6.64,345,6.27,286,5.2,282,5.13,360,6.55,316,5.75,168,3.05
富山県,3016,107.71,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24,208,7.17,148,5.1,202,6.97,184,6.34,212,7.31,239,8.24,130,4.48,156,5.38,126,4.5,136,4.86,141,5.04,149,5.32,78,2.79
石川県,1470,52.5,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71,111,3.96,98,3.38,108,3.72,95,3.28,107,3.69,71,2.45,56,1.93,77,2.66,61,2.1,82,2.83,84,2.9,73,2.52,61,2.1
福井県,1993,79.72,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16,134,5.36,125,5,112,4.48,128,5.12,141,5.64,137,5.48,98,3.92,92,3.68,94,3.76,86,3.44,134,5.36,128,5.12,61,2.44
山梨県,1017,42.38,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71,55,2.29,45,1.88,44,1.83,47,1.96,47,1.96,60,2.5,55,2.29,73,3.04,73,3.04,62,2.58,81,3.38,104,4.33,70,2.92
長野県,3448,63.85,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2,236,4.37,183,3.39,168,3.11,206,3.81,256,4.74,218,4.04,184,3.41,168,3.11,127,2.35,163,3.02,190,3.52,217,4.02,152,2.81
岐阜県,2271,42.85,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3,129,2.43,115,2.17,127,2.4,121,2.28,145,2.74,165,3.11,140,2.64,134,2.53,128,2.42,141,2.66,173,3.26,188,3.55,127,2.4
静岡県,5568,62.56,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39,364,4.09,260,2.92,351,3.94,334,3.75,369,4.15,395,4.44,337,3.79,291,3.27,272,3.06,285,3.2,280,3.15,387,4.35,211,2.37
愛知県,7721,42.42,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46,535,2.94,389,2.14,434,2.38,355,1.95,495,2.72,490,2.69,445,2.45,403,2.21,378,2.08,446,2.45,502,2.76,619,3.4,333,1.83
三重県,3444,76.53,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87,237,5.27,184,4.09,180,4,217,4.82,200,4.44,236,5.24,199,4.42,205,4.56,168,3.73,168,3.73,220,4.89,245,5.44,120,2.67
滋賀県,1098,31.37,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11,65,1.81,58,1.61,62,1.72,66,1.83,66,1.83,72,2,72,2,64,1.78,44,1.22,67,1.86,90,2.5,95,2.64,55,1.62
京都府,2968,39.57,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96,221,2.95,179,2.36,192,2.53,198,2.61,174,2.29,182,2.39,125,1.64,162,2.13,126,1.64,126,1.64,182,2.36,175,2.27,87,1.14
大阪府,11139,56.54,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13,851,4.3,569,2.87,600,3.03,617,3.12,709,3.58,658,3.32,609,3.08,501,2.53,495,2.53,506,2.58,691,3.53,779,3.97,452,2.32
兵庫県,6310,49.3,189,1.48,286,2.23,405,3.16,394,3.08,416,3.25,468,3.66,332,2.59,308,2.41,380,2.97,373,2.91,419,3.27,343,2.68,302,2.36,274,2.12,274,2.12,371,2.88,508,3.94,268,2.08
奈良県,1529,46.33,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53,102,3,73,2.21,74,2.24,80,2.42,101,3.06,80,2.42,63,1.85,77,2.26,70,2.06,89,2.62,120,3.53,100,2.94,50,1.52
和歌山県,1302,43.4,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07,81,2.7,50,1.67,64,2.13,78,2.6,84,2.8,84,2.8,82,2.73,91,3.03,58,1.93,51,1.7,83,2.77,115,3.83,62,2.07
鳥取県,2419,127.32,44,2.32,92,4.84,178,9.37,189,9.95,203,10.68,199,10.47,163,8.58,138,7.26,131,6.89,168,8.84,126,6.63,115,6.05,106,5.58,80,4.21,95,5,131,6.89,160,8.42,101,5.32
島根県,781,33.96,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04,45,1.96,44,1.91,51,2.22,38,1.65,60,2.61,45,1.96,38,1.65,37,1.61,36,1.57,32,1.39,34,1.48,71,3.09,45,1.96
岡山県,2249,41.65,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43,156,2.89,121,2.24,131,2.43,165,3.06,160,2.96,125,2.31,123,2.28,90,1.67,112,2.07,113,2.09,142,2.63,169,3.13,106,1.96
広島県,3587,51.99,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39,219,3.22,184,2.67,187,2.67,207,2.96,231,3.3,217,3.1,187,2.67,202,2.89,154,2.26,152,2.27,198,2.96,277,4.13,130,1.91
山口県,3957,92.02,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86,274,6.37,232,5.4,188,4.37,276,6.42,311,7.23,238,5.53,185,4.3,238,5.53,160,3.72,214,4.98,216,5.02,305,7.09,142,3.3
徳島県,771,33.52,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48,60,2.61,51,2.22,42,1.83,55,2.39,55,2.39,54,2.35,40,1.74,38,1.65,39,1.7,31,1.35,40,1.74,56,2.43,37,1.61
香川県,1483,52.96,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25,102,3.64,83,2.96,65,2.32,83,2.96,105,3.75,94,3.36,95,3.39,91,3.25,65,2.32,75,2.68,100,3.57,71,2.54,85,3.04
愛媛県,3591,99.75,79,2.19,141,3.81,195,5.27,232,6.27,222,6,230,6.22,225,6.08,225,6.08,206,5.57,229,6.19,240,6.49,191,5.16,180,4.86,193,5.22,194,5.24,202,5.46,236,6.38,171,4.62
高知県,1754,70.16,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73,145,5.58,168,6.46,125,4.81,133,5.12,130,5,118,4.54,82,3.15,105,4.2,61,2.44,67,2.68,84,3.36,79,3.16,27,1.08
福岡県,13940,116.17,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07,1051,8.76,859,7.16,737,6.14,808,6.73,948,7.9,914,7.62,707,5.89,665,5.54,484,4.03,596,4.97,722,6.02,890,7.42,554,4.62
佐賀県,1899,82.57,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91,157,6.83,73,3.17,104,4.52,108,4.7,112,4.87,151,6.57,114,4.96,94,4.09,103,4.48,95,4.13,94,4.09,100,4.35,45,1.96
長崎県,2726,63.4,64,1.45,132,3,163,3.7,138,3.14,216,4.91,215,4.89,160,3.64,123,2.86,161,3.74,206,4.79,190,4.42,160,3.72,95,2.21,79,1.84,133,3.02,195,4.43,170,3.95,126,2.86
熊本県,2887,57.74,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96,211,4.22,118,2.36,142,2.84,153,3.06,153,3.06,200,4,148,2.96,158,3.16,148,2.96,162,3.24,198,3.96,216,4.32,117,2.34
大分県,2236,62.11,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17,119,3.31,101,2.81,85,2.36,100,2.78,138,3.83,126,3.5,115,3.19,134,3.72,127,3.53,142,3.94,151,4.19,174,4.83,107,2.97
宮崎県,3223,89.53,91,2.53,136,3.78,242,6.72,205,5.69,216,6,201,5.58,158,4.39,144,4,160,4.44,200,5.56,196,5.44,202,5.61,176,4.89,177,4.92,178,4.94,184,5.11,218,6.06,139,3.86
鹿児島県,3609,72.18,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88,242,4.75,237,4.65,221,4.33,227,4.45,234,4.59,202,3.96,187,3.67,165,3.24,137,2.74,182,3.57,188,3.69,206,4.04,140,2.75
沖縄県,2344,78.13,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55,234,7.55,153,4.94,151,4.87,125,4.03,115,3.71,176,5.68,107,3.45,118,3.81,98,3.27,94,3.13,104,3.47,100,3.33,57,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,290111,92.72,8781,2.83,16795,5.36,23875,7.63,23806,7.6,23290,7.44,21606,6.9,17961,5.73,17114,5.46,17197,5.48,17593,5.61,16698,5.33,13442,4.28,12892,4.11,11394,3.64,12101,3.86,13142,4.19,14395,4.61,8029,2.59
北海道,7615,55.58,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55,528,3.8,457,3.29,360,2.59,408,2.94,537,3.89,408,2.96,393,2.85,348,2.54,403,2.94,431,3.15,554,4.04,662,4.83,344,2.63
青森県,2380,66.11,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78,182,4.92,103,2.78,106,2.86,116,3.14,102,2.76,91,2.46,67,1.81,73,1.97,49,1.32,129,3.49,106,2.86,135,3.65,57,1.63
岩手県,4282,109.79,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26,347,9.13,298,7.84,280,7.37,315,8.08,307,7.87,252,6.46,241,6.18,202,5.18,172,4.3,199,4.98,179,4.48,142,3.55,92,2.3
宮城県,4601,85.2,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22,298,5.42,261,4.75,299,5.44,300,5.45,321,5.84,278,5.05,259,4.71,172,3.13,180,3.4,232,4.38,224,4.23,274,5.07,152,2.81
秋田県,1449,43.91,35,1.13,60,1.82,106,3.21,93,2.82,91,2.76,93,2.82,96,2.91,89,2.7,69,2.09,89,2.7,82,2.48,65,1.97,51,1.55,77,2.26,80,2.35,111,3.26,108,3.18,54,1.59
山形県,2188,78.14,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14,170,6.07,141,5.04,168,6,187,6.68,141,5.04,127,4.54,82,2.93,93,3.32,83,2.96,68,2.43,89,3.18,103,3.68,90,3.21
