累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年16週(04月15日～04月21日),2024年04月24日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,1129222,229,23844,7.62,47538,15.18,188954,60.35,267668,85.49,6783,2.17,10518,3.36,1060,0.34,10482,3.35,1439,0.46,1421,0.45,128,0.18,5944,8.56,130,0.27,146,0.3,658,1.37,12,0.02,103,0.21,654055,132.64
北海道,56627,253.93,2014,14.59,5013,36.33,16677,120.85,6609,47.89,375,2.72,41,0.3,6,0.04,227,1.64,19,0.14,42,0.3,1,0.03,89,3.07,2,0.09,1,0.05,11,0.5,-,-,7,0.32,29838,133.8
青森県,10326,178.03,18,0.49,566,15.3,1777,48.03,2188,59.14,55,1.49,32,0.86,5,0.14,133,3.59,8,0.22,11,0.3,-,-,63,6.3,2,0.33,-,-,39,6.5,-,-,-,-,8004,138
岩手県,11718,192.1,56,1.44,1123,28.79,1587,40.69,4048,103.79,76,1.95,75,1.92,31,0.79,182,4.67,15,0.38,28,0.72,-,-,93,6.64,2,0.11,3,0.16,22,1.16,-,-,7,0.37,10987,180.11
宮城県,23225,258.06,308,5.7,1183,21.91,3104,57.48,4175,77.31,119,2.2,37,0.69,8,0.15,209,3.87,10,0.19,26,0.48,-,-,38,3.17,3,0.3,3,0.3,3,0.3,1,0.1,1,0.1,17012,189.02
秋田県,7804,153.02,35,1.06,257,7.79,1222,37.03,1287,39,74,2.24,65,1.97,6,0.18,65,1.97,10,0.3,1,0.03,2,0.29,24,3.43,1,0.13,-,-,1,0.13,-,-,1,0.13,7693,150.84
山形県,11628,270.42,94,3.36,1007,35.96,3746,133.79,1995,71.25,70,2.5,124,4.43,12,0.43,139,4.96,20,0.71,8,0.29,-,-,27,3.38,-,-,-,-,-,-,-,-,3,0.3,6886,160.14
福島県,16464,200.78,465,9.49,1082,22.08,3250,66.33,3189,65.08,133,2.71,21,0.43,18,0.37,226,4.61,3,0.06,12,0.24,2,0.15,123,9.46,1,0.14,-,-,6,0.86,2,0.29,3,0.43,15374,187.49
茨城県,24901,207.51,288,3.84,736,9.81,6022,80.29,5612,74.83,113,1.51,42,0.56,11,0.15,107,1.43,41,0.55,33,0.44,1,0.06,265,16.56,1,0.08,7,0.54,26,2,-,-,-,-,22425,186.88
